,model,prior,duplicates_level,distortion_level,num_iter,precision_median,recall_median,f1score_median,precision_std,recall_std,f1score_std
44,Both,uniform,Very High,High,10000,1.0,0.7692824,0.8695980000000001,0.0,0.05526953170315995,0.03652636614365602
45,Both,uniform,Very High,High,50000,1.0,0.665996,0.7995167000000001,0.0,0.015470947327707844,0.01090236653616643
46,Both,uniform,Very High,Low,10000,1.0,0.921762,0.9592884,0.0,0.0009604857567506922,0.0005205480205362406
47,Both,uniform,Very High,Low,50000,1.0,0.92241945,0.9596442000000001,0.0,0.0010959970775988599,0.0005926753278233222
48,No Diri,Bounded NBD,High,High,10000,0.9985408,0.8153477,0.89734015,0.0017295714313317438,0.0036252792081910043,0.0021605212219325777
49,No Diri,Bounded NBD,High,High,50000,1.0,0.8289369,0.90622945,0.0011302293693154367,0.0032524474426919785,0.0020113874835153184
50,No Diri,Bounded NBD,High,Low,10000,1.0,0.936901,0.9674227,0.0,0.0013314885584720887,0.0007101459044116091
51,No Diri,Bounded NBD,High,Low,50000,1.0,0.9400958,0.9691231,0.0,0.001377959056568439,0.0007320021775205138
52,No Diri,Bounded NBD,Low,High,10000,0.8360656,0.85,0.8429752,0.01637462621953151,0.0,0.008367996534195989
53,No Diri,Bounded NBD,Low,High,50000,0.8360656,0.85,0.8429752,0.008896744955177349,0.0,0.004521009039490813
54,No Diri,Bounded NBD,Low,Low,10000,0.8571429,0.952381,0.9022556,0.023105014298231346,0.0,0.012682790947267035
55,No Diri,Bounded NBD,Low,Low,50000,0.8633540500000001,0.952381,0.90567325,0.013593589566342802,0.0,0.007463099705568901
56,No Diri,Bounded NBD,Medium,High,10000,0.9732906,0.8583162,0.9125681999999999,0.00504464339889092,0.004628839226696622,0.004080629554818436
57,No Diri,Bounded NBD,Medium,High,50000,0.97894735,0.8634497000000001,0.91593875,0.0049473247533761795,0.003890352415317712,0.0036933217398398602
58,No Diri,Bounded NBD,Medium,Low,10000,1.0,0.9232323,0.960084,0.0006662207880433131,0.0038274520061482922,0.0018732453362799947
59,No Diri,Bounded NBD,Medium,Low,50000,1.0,0.9272727,0.9622642,0.0008921820948780637,0.00444540649778243,0.002425368766947421
60,No Diri,Bounded NBD,Very High,High,10000,0.99492305,0.8527833499999999,0.91818675,0.0023829292538474806,0.004483193523054495,0.0030503678445782793
61,No Diri,Bounded NBD,Very High,High,50000,0.9945778000000001,0.86519115,0.925448,0.001807895217503941,0.0030464116863338753,0.002045863443222876
62,No Diri,Bounded NBD,Very High,Low,10000,1.0,0.921762,0.9592884,0.0,0.0010552913166639302,0.0005721832481589105
63,No Diri,Bounded NBD,Very High,Low,50000,1.0,0.9230769,0.96,0.0,0.0012272145957732813,0.0006635558165551406
64,No Diri,Pitman,High,High,10000,0.9960842,0.8133493,0.89529255,0.0018606202548442667,0.0035879975085803422,0.00233490297296438
65,No Diri,Pitman,High,High,50000,0.996139,0.82494,0.9024923,0.0006492019723840845,0.003143344581689499,0.0019654204928087554
66,No Diri,Pitman,High,Low,10000,1.0,0.93610225,0.96699655,0.0,0.0020908629785959722,0.0011141490479048628
67,No Diri,Pitman,High,Low,50000,1.0,0.9408946,0.9695473,0.0,0.001716983881993771,0.000911183837523017
68,No Diri,Pitman,Low,High,10000,0.8928571,0.8333333,0.862069,0.013630865043232443,0.00683986936027903,0.007186403215127511
69,No Diri,Pitman,Low,High,50000,0.8928571,0.8333333,0.862069,0.0032803890613446736,0.008156024394176014,0.00452385994587531
70,No Diri,Pitman,Low,Low,10000,0.8759590500000001,0.952381,0.9125607,0.029309625974005164,0.0,0.015352872689400717
71,No Diri,Pitman,Low,Low,50000,0.8695652,0.952381,0.9090909,0.0070969640539644205,0.0,0.003842701506858904
72,No Diri,Pitman,Medium,High,10000,0.9857988,0.8562628,0.9164835,0.004179761537254948,0.004854640156676459,0.003679825736044821
73,No Diri,Pitman,Medium,High,50000,0.9882629,0.8644764,0.9222344,0.0029024598641542135,0.003331054661499085,0.0026274948145524504
74,No Diri,Pitman,Medium,Low,10000,1.0,0.9232323,0.960084,0.0012803318348648513,0.003643441525694885,0.002005049962653503
75,No Diri,Pitman,Medium,Low,50000,1.0,0.9292929,0.9633508,0.0007987251192237028,0.0044102356305471165,0.002537942669378589
76,No Diri,Pitman,Very High,High,10000,0.996115,0.8547954499999999,0.9202166,0.0011516490631401292,0.004044525839830018,0.002489153492861861
77,No Diri,Pitman,Very High,High,50000,0.99652385,0.86418515,0.9256198,0.001703737006391341,0.0017271358552223663,0.001123460107225134
78,No Diri,Pitman,Very High,Low,10000,1.0,0.921762,0.9592884,0.0,0.0011287220787360836,0.0006117788320695781
79,No Diri,Pitman,Very High,Low,50000,1.0,0.9230769,0.96,0.0,0.0012364508484495264,0.0006684903539043015
80,No Diri,uniform,High,High,10000,1.0,0.804956,0.891886,0.0013421215212451804,0.0029714614205099263,0.0019461608097333892
81,No Diri,uniform,High,High,50000,1.0,0.8153477,0.8982827,0.0,0.0034256763578775344,0.0020791930737668485
82,No Diri,uniform,High,Low,10000,1.0,0.9365015999999999,0.9672097,0.0,0.0010645407731802298,0.0005676608480375217
83,No Diri,uniform,High,Low,50000,1.0,0.9400958,0.9691231,0.0,0.0019439886116192685,0.0010315327292177274
84,No Diri,uniform,Low,High,10000,0.30630905,0.85,0.4503333,0.014718987549737996,0.0,0.01592662094762959
85,No Diri,uniform,Low,High,50000,0.3072289,0.85,0.4513274,0.010080595799762245,0.0,0.01082491451741622
86,No Diri,uniform,Low,Low,10000,0.3278689,0.952381,0.4878049,0.012996534958174542,0.0,0.01441320671760798
87,No Diri,uniform,Low,Low,50000,0.3370787,0.952381,0.4979253,0.010017300496980998,0.0,0.010925926848097314
88,No Diri,uniform,Medium,High,10000,0.970935,0.8583162,0.9100823499999999,0.004654376503585816,0.005512848741478495,0.004614304608371882
89,No Diri,uniform,Medium,High,50000,0.97344785,0.8644764,0.9163952,0.004155555693827254,0.0034553169854436155,0.0028414747561368975
90,No Diri,uniform,Medium,Low,10000,1.0,0.9232323,0.960084,0.0007998832374658748,0.0024763990149323347,0.001430695827211353
91,No Diri,uniform,Medium,Low,50000,1.0,0.930303,0.96389295,0.0,0.003492944894407657,0.001877170318738449
92,No Diri,uniform,Very High,High,10000,1.0,0.8490946,0.9183896,0.0002887695261568284,0.0037399565273683773,0.002177731457974703
93,No Diri,uniform,Very High,High,50000,1.0,0.8578135,0.9234657,0.0,0.0036429457223624904,0.002109898262975092
94,No Diri,uniform,Very High,Low,10000,1.0,0.921762,0.9592884,0.0,0.0010850511237531142,0.0005877878108905867
95,No Diri,uniform,Very High,Low,50000,1.0,0.9230769,0.96,0.0,0.0009884962158301365,0.0005346365340854737
96,No Empirical,Bounded NBD,High,High,10000,0.99692465,0.7733813,0.87024955,0.002403304811531748,0.008955065655611681,0.005459891281862947
97,No Empirical,Bounded NBD,High,High,50000,0.9979024999999999,0.75979215,0.8627273,0.0016823059823928479,0.003223360449572534,0.0023055890841890293
98,No Empirical,Bounded NBD,High,Low,10000,1.0,0.93610225,0.96699655,0.0,0.0015198955670841638,0.000810387819747261
99,No Empirical,Bounded NBD,High,Low,50000,1.0,0.9408946,0.9695473,0.0,0.0017689798717949545,0.0009391420522561271
100,No Empirical,Bounded NBD,Low,High,10000,1.0,0.7833333,0.8785047,0.007528826594341108,0.017501046919409353,0.010869191856438955
101,No Empirical,Bounded NBD,Low,High,50000,1.0,0.7666667,0.8679245,0.0,0.009785691457981676,0.006183187568773232
102,No Empirical,Bounded NBD,Low,Low,10000,0.9677419,0.952381,0.96,0.009002719613188248,0.0,0.004407827960425688
103,No Empirical,Bounded NBD,Low,Low,50000,0.9836066,0.952381,0.9677419,0.00809762504216184,0.0,0.003951603453826024
