,model,prior,duplicates,distortion,m1,m2,m3,date
268,No Empiri,Pitman,8,0,1.0,0.9523089,0.9755719,Wed_Mar__6_21_57_23_2024
269,No Empiri,Pitman,8,1,0.993079,0.8886707,0.9379783,Wed_Mar__6_21_57_44_2024
270,No Empiri,Pitman,8,1,0.9939292,0.8903323,0.9392829,Fri_Mar__8_22_54_14_2024
271,No Empiri,Pitman,100,0,1.0,0.9551641,0.977068,Fri_Mar__8_22_53_56_2024
272,No Empiri,Pitman,0.1,0,0.9705882,0.9519231,0.961165,Fri_Mar__8_22_53_12_2024
273,No Empiri,Pitman,100,0,1.0,0.9540966,0.9765092,Wed_Mar__6_21_57_26_2024
274,No Empiri,Pitman,8,0,1.0,0.9510977,0.974936,Fri_Mar__8_22_53_25_2024
275,No Empiri,Pitman,1,0,0.9951992,0.9637378,0.9792159,Fri_Mar__8_22_53_14_2024
276,No Empiri,Pitman,1,1,0.942298,0.8686401,0.9039711,Wed_Mar__6_21_57_39_2024
277,No Empiri,Pitman,100,1,0.9927624,0.8785695,0.9321818,Fri_Mar__8_22_54_24_2024
278,No Empiri,Pitman,100,0,0.9994415,0.9551641,0.9768013,Fri_Mar__8_13_57_11_2024
279,No Empiri,Pitman,100,1,0.9929024,0.8773686,0.931567,Wed_Mar__6_21_57_48_2024
280,No Empiri,Pitman,8,0,1.0,0.9507949,0.9747769,Mon_Feb_12_10_07_58_2024
281,No Empiri,Pitman,0.1,0,0.980198,0.9519231,0.9658537,Wed_Mar__6_21_57_20_2024
282,No Empiri,Pitman,100,1,0.9933555,0.8777689,0.9319921,Fri_Mar__8_13_57_30_2024
283,No Empiri,Pitman,100,1,0.9922879,0.8756338,0.9303183,Mon_Feb_12_10_08_14_2024
284,No Empiri,Pitman,0.1,1,0.5208333,0.8373206,0.6422018,Wed_Mar__6_21_57_34_2024
285,No Empiri,Pitman,100,0,1.0,0.9552976,0.9771378,Wed_Mar__6_21_57_31_2024
286,No Empiri,Pitman,1,0,0.9947166,0.962808,0.9785022,Wed_Mar__6_21_57_24_2024
287,No Empiri,Pitman,8,0,1.0,0.9507949,0.9747769,Wed_Mar__6_21_57_25_2024
288,No Empiri,Pitman,1,1,0.9461229,0.8691027,0.9059788,Wed_Mar__6_21_57_40_2024
289,No Empiri,Pitman,8,1,0.9935811,0.8885196,0.938118,Mon_Feb_12_10_08_10_2024
290,No Empiri,Pitman,1,1,0.9312562,0.8709528,0.9000956,Mon_Feb_12_10_08_08_2024
291,No Empiri,Pitman,0.1,1,0.5221239,0.84689,0.6459854,Mon_Feb_12_10_08_04_2024
292,No Empiri,Pitman,0.1,0,0.9850746,0.9519231,0.9682152,Fri_Mar__8_13_57_00_2024
293,No Empiri,Pitman,1,1,0.9451986,0.8695652,0.9058058,Fri_Mar__8_13_57_21_2024
294,No Empiri,Pitman,1,0,0.99519,0.9618782,0.9782506,Mon_Feb_12_10_07_55_2024
295,No Empiri,Pitman,8,1,0.9964449,0.8891239,0.9397302,Wed_Mar__6_21_57_44_2024
296,No Empiri,Pitman,0.1,1,0.5315315,0.84689,0.6531365,Fri_Mar__8_13_57_08_2024
297,No Empiri,Pitman,8,1,0.9914011,0.8882175,0.9369771,Fri_Mar__8_13_57_26_2024
298,No Empiri,Pitman,1,0,0.9971112,0.962808,0.9796594,Fri_Mar__8_13_57_02_2024
299,No Empiri,Pitman,100,0,1.0,0.9544969,0.9767188,Mon_Feb_12_10_08_01_2024
300,No Empiri,Pitman,0.1,0,0.9660194,0.9567308,0.9613527,Mon_Feb_12_10_07_51_2024
301,No Empiri,Pitman,8,0,1.0,0.9515519,0.9751746,Fri_Mar__8_13_57_05_2024
302,No Empiri,Pitman,100,0,1.0,0.9547638,0.9768585,Fri_Mar__8_14_37_11_2024
303,No Empiri,Pitman,0.1,0,0.9658537,0.9519231,0.9588378,Wed_Mar__6_22_25_28_2024
304,No Empiri,Pitman,100,1,0.9951662,0.8791033,0.9335412,Fri_Mar__8_14_37_29_2024
305,No Empiri,Pitman,0.1,1,0.5208333,0.8373206,0.6422018,Fri_Mar__8_14_37_17_2024
306,No Empiri,Pitman,8,1,0.9949324,0.8897281,0.9393939,Wed_Mar__6_22_25_57_2024
307,No Empiri,Pitman,100,0,1.0,0.9540966,0.9765092,Wed_Mar__6_22_25_36_2024
308,No Empiri,Pitman,0.1,0,0.9660194,0.9567308,0.9613527,Fri_Mar__8_14_37_04_2024
309,No Empiri,Pitman,8,0,1.0,0.9509463,0.9748564,Wed_Mar__6_22_25_36_2024
310,No Empiri,Pitman,1,0,0.9927954,0.9609484,0.9766123,Wed_Mar__6_22_25_31_2024
311,No Empiri,Pitman,1,0,0.995671,0.9623431,0.9787234,Fri_Mar__8_14_37_05_2024
312,No Empiri,Pitman,0.1,1,0.5460123,0.8516746,0.6654206,Wed_Mar__6_22_25_47_2024
313,No Empiri,Pitman,100,1,0.9933515,0.8772351,0.9316893,Wed_Mar__6_22_26_02_2024
314,No Empiri,Pitman,1,1,0.940321,0.8672525,0.9023099,Fri_Mar__8_14_37_21_2024
315,No Empiri,Pitman,8,1,0.9935876,0.889426,0.9386259,Fri_Mar__8_14_37_25_2024
316,No Empiri,Pitman,1,1,0.9385307,0.8686401,0.902234,Wed_Mar__6_22_25_52_2024
317,No Empiri,Pitman,8,0,1.0,0.9515519,0.9751746,Fri_Mar__8_14_37_08_2024
318,No Empiri,Pitman,100,1,0.9928992,0.8769682,0.9313399,Thu_Mar__7_21_00_03_2024
319,No Empiri,Pitman,0.1,1,0.5272727,0.8325359,0.6456401,Thu_Mar_14_18_04_11_2024
320,No Empiri,Pitman,100,1,0.9930366,0.875367,0.9304965,Wed_Mar_13_00_42_37_2024
321,No Empiri,Pitman,1,1,0.9495459,0.8704903,0.9083012,Wed_Mar__6_22_25_51_2024
322,No Empiri,Pitman,1,1,0.93778,0.8714154,0.9033805,Thu_Mar_14_18_04_15_2024
323,No Empiri,Pitman,0.1,0,0.9613527,0.9567308,0.9590361,Thu_Mar__7_20_59_24_2024
324,No Empiri,Pitman,100,0,1.0,0.9542301,0.976579,Thu_Mar_14_18_04_06_2024
325,No Empiri,Pitman,100,1,0.9927449,0.8764345,0.9309709,Wed_Mar__6_22_25_56_2024
326,No Empiri,Pitman,8,0,1.0,0.9526117,0.9757308,Wed_Mar__6_22_25_42_2024
327,No Empiri,Pitman,0.1,1,0.5465839,0.8421053,0.6629002,Wed_Mar__6_22_25_48_2024
328,No Empiri,Pitman,8,1,0.9927609,0.8907855,0.9390127,Wed_Mar_13_00_42_35_2024
329,No Empiri,Pitman,0.1,0,0.9658537,0.9519231,0.9588378,Thu_Mar_14_18_03_50_2024
330,No Empiri,Pitman,100,1,0.9939467,0.8764345,0.9314991,Thu_Mar_14_18_04_26_2024
331,No Empiri,Pitman,1,0,0.9942363,0.9623431,0.9780298,Wed_Mar__6_22_25_39_2024
332,No Empiri,Pitman,1,1,0.942327,0.8691027,0.9042348,Wed_Mar_13_00_42_32_2024
333,No Empiri,Pitman,8,1,0.9954261,0.8876133,0.9384333,Thu_Mar__7_21_00_02_2024
334,No Empiri,Pitman,8,1,0.9942587,0.889426,0.9389252,Wed_Mar__6_22_25_54_2024
335,No Empiri,Pitman,0.1,1,0.5226586,0.8277512,0.6407407,Thu_Mar__7_20_59_55_2024
336,No Empiri,Pitman,8,0,1.0,0.9521575,0.9754925,Wed_Mar_13_00_42_23_2024
337,No Empiri,Pitman,0.1,0,0.9708738,0.9615385,0.9661836,Wed_Mar_13_00_42_17_2024
338,No Empiri,Pitman,0.1,0,0.9705882,0.9519231,0.961165,Wed_Mar__6_22_25_36_2024
339,No Empiri,Pitman,8,0,1.0,0.9520061,0.975413,Thu_Mar__7_20_59_42_2024
340,No Empiri,Pitman,1,0,0.9942418,0.9632729,0.9785124,Thu_Mar_14_18_03_55_2024
341,No Empiri,Pitman,100,0,1.0,0.9556979,0.9773472,Thu_Mar__7_20_59_51_2024
342,No Empiri,Pitman,1,1,0.9390305,0.8691027,0.9027144,Thu_Mar__7_20_59_59_2024
343,No Empiri,Pitman,8,1,0.9923974,0.8873112,0.9369168,Thu_Mar_14_18_04_20_2024
344,No Empiri,Pitman,1,0,0.9956731,0.962808,0.9789648,Wed_Mar_13_00_42_18_2024
345,No Empiri,Pitman,1,0,0.9928161,0.9637378,0.9780609,Thu_Mar__7_20_59_37_2024
346,No Empiri,Pitman,100,0,1.0,0.9536963,0.9762994,Wed_Mar__6_22_25_44_2024
347,No Empiri,Pitman,8,0,1.0,0.9507949,0.9747769,Thu_Mar_14_18_04_02_2024
348,No Empiri,Pitman,100,0,1.0,0.9558313,0.9774169,Wed_Mar_13_00_42_25_2024
349,No Empiri,Pitman,0.1,1,0.5086705,0.8421053,0.6342342,Wed_Mar_13_00_42_31_2024
350,Both,Uniform,100,0,1.0,0.9544969,0.9767188,Fri_Mar__8_12_05_05_2024
351,Both,Uniform,1,1,0.9245007,0.8778908,0.9005931,Wed_Mar__6_21_58_32_2024
352,Both,Uniform,0.1,1,0.3234201,0.8325359,0.4658635,Wed_Mar__6_21_58_25_2024
353,Both,Uniform,8,0,1.0,0.949735,0.9742196,Fri_Mar__8_12_05_03_2024
354,Both,Uniform,100,1,0.9992184,0.852949,0.9203081,Wed_Mar__6_21_58_39_2024
355,Both,Uniform,0.1,0,0.3489583,0.9663462,0.5127551,Fri_Mar__8_12_04_58_2024
356,Both,Uniform,100,1,0.9992172,0.8516146,0.9195303,Fri_Mar__8_12_05_21_2024
357,Both,Uniform,1,0,0.9932821,0.9623431,0.9775679,Wed_Mar__6_21_58_15_2024
358,Both,Uniform,100,0,1.0,0.9531625,0.9760197,Wed_Mar__6_21_58_21_2024
359,Both,Uniform,8,1,0.997228,0.8694864,0.9289864,Wed_Mar__6_21_58_31_2024
360,Both,Uniform,0.1,0,0.3476027,0.9759615,0.5126263,Wed_Mar__6_21_58_13_2024
361,Both,Uniform,1,1,0.927522,0.8760407,0.9010466,Fri_Mar__8_12_05_11_2024
362,Both,Uniform,8,0,1.0,0.9492808,0.9739806,Wed_Mar__6_21_58_18_2024
363,Both,Uniform,1,0,0.9918582,0.962808,0.9771172,Fri_Mar__8_12_05_01_2024
364,Both,Uniform,0.1,1,0.3075571,0.8373206,0.4498715,Fri_Mar__8_12_05_11_2024
365,Both,Uniform,8,1,0.9982675,0.8703927,0.9299548,Fri_Mar__8_12_05_18_2024
366,Both,Uniform,8,0,1.0,0.9491294,0.9739009,Mon_Feb_12_10_08_27_2024
367,Both,Uniform,100,0,1.0,0.9519616,0.9753897,Mon_Feb_12_10_08_31_2024
368,Both,Uniform,0.1,0,0.3518198,0.9759615,0.5171975,Fri_Mar__8_10_49_56_2024
369,Both,Uniform,8,1,0.9977446,0.8687311,0.9287791,Fri_Mar__8_10_50_18_2024
370,Both,Uniform,100,0,1.0,0.9535629,0.9762295,Fri_Mar__8_10_50_07_2024
371,Both,Uniform,0.1,1,0.3157895,0.8325359,0.4578947,Wed_Mar__6_21_58_34_2024
372,Both,Uniform,1,0,0.9913958,0.9642027,0.9776102,Wed_Mar__6_21_58_21_2024
373,Both,Uniform,100,0,1.0,0.9534294,0.9761596,Wed_Mar__6_21_58_29_2024
374,Both,Uniform,8,0,1.0,0.9500379,0.9743789,Wed_Mar__6_21_58_27_2024
375,Both,Uniform,8,1,0.9977474,0.8697885,0.9293842,Wed_Mar__6_21_58_42_2024
376,Both,Uniform,0.1,1,0.3228782,0.8373206,0.4660453,Fri_Mar__8_10_50_10_2024
377,Both,Uniform,100,1,0.9992183,0.8528156,0.9202304,Tue_Feb_20_10_09_06_2024
378,Both,Uniform,1,0,0.993771,0.9642027,0.9787636,Mon_Feb_12_10_08_24_2024
379,Both,Uniform,1,1,0.9270323,0.8755782,0.9005709,Wed_Mar__6_21_58_38_2024
380,Both,Uniform,0.1,1,0.3211009,0.8373206,0.464191,Tue_Feb_20_10_09_01_2024
381,Both,Uniform,8,0,1.0,0.9507949,0.9747769,Fri_Mar__8_10_50_01_2024
382,Both,Uniform,0.1,0,0.3513986,0.9663462,0.5153846,Wed_Mar__6_21_58_19_2024
383,Both,Uniform,1,0,0.993295,0.9642027,0.9785327,Fri_Mar__8_10_49_59_2024
384,Both,Uniform,1,1,0.9250608,0.8792784,0.9015888,Fri_Mar__8_10_50_14_2024
385,Both,Uniform,0.1,0,0.3512111,0.9759615,0.5165394,Mon_Feb_19_22_30_32_2024
386,Both,Uniform,100,1,0.9990648,0.8553509,0.9216391,Wed_Mar__6_21_58_47_2024
387,Both,Uniform,8,1,0.9974035,0.8703927,0.9295797,Tue_Feb_20_10_09_05_2024
388,Both,Uniform,1,1,0.9248047,0.8760407,0.8997625,Tue_Feb_20_10_09_03_2024
389,Both,Uniform,100,1,0.9992211,0.8558847,0.9220154,Fri_Mar__8_10_50_22_2024
390,Both,Uniform,1,0,0.9947217,0.9637378,0.9789847,Fri_Mar__8_15_21_24_2024
391,Both,Uniform,8,1,0.9972266,0.8690332,0.9287271,Fri_Mar__8_15_21_47_2024
392,Both,Uniform,100,0,1.0,0.9535629,0.9762295,Wed_Mar__6_22_26_09_2024
393,Both,Uniform,8,0,1.0,0.9510977,0.974936,Wed_Mar__6_22_26_09_2024
394,Both,Uniform,1,1,0.9250608,0.8792784,0.9015888,Fri_Mar__8_15_21_43_2024
395,Both,Uniform,100,0,1.0,0.9542301,0.976579,Fri_Mar__8_15_21_34_2024
396,Both,Uniform,0.1,1,0.3229358,0.8421053,0.4668435,Wed_Mar__6_22_26_19_2024
397,Both,Uniform,100,1,0.999376,0.8548172,0.9214614,Wed_Mar__6_22_26_36_2024
398,Both,Uniform,8,1,0.997747,0.8696375,0.9292978,Wed_Mar__6_22_26_31_2024
399,Both,Uniform,8,0,1.0,0.9507949,0.9747769,Fri_Mar__8_15_21_30_2024
400,Both,Uniform,1,0,0.9904762,0.9669921,0.9785933,Wed_Mar__6_22_26_00_2024
401,Both,Uniform,0.1,0,0.3500867,0.9711538,0.5146497,Wed_Mar__6_22_25_59_2024
402,Both,Uniform,1,1,0.9278049,0.879741,0.9031339,Wed_Mar__6_22_26_25_2024
403,Both,Uniform,0.1,0,0.3536585,0.9759615,0.5191816,Fri_Mar__8_15_21_22_2024
404,Both,Uniform,100,1,0.999217,0.8514812,0.9194524,Fri_Mar__8_15_21_50_2024
405,Both,Uniform,0.1,1,0.3102837,0.8373206,0.4527814,Fri_Mar__8_15_21_38_2024
406,Both,Uniform,0.1,0,0.3487973,0.9759615,0.5139241,Thu_Mar_14_17_52_40_2024
407,Both,Uniform,0.1,1,0.3107143,0.8325359,0.4525358,Wed_Mar_13_00_43_55_2024
408,Both,Uniform,1,1,0.9267578,0.8778908,0.9016627,Thu_Mar__7_18_21_15_2024
409,Both,Uniform,8,1,0.9972347,0.8716012,0.9301951,Thu_Mar_14_17_53_06_2024
410,Both,Uniform,1,0,0.9918582,0.962808,0.9771172,Thu_Mar__7_18_21_02_2024
411,Both,Uniform,8,0,1.0,0.9498864,0.9742992,Wed_Mar_13_00_43_45_2024
412,Both,Uniform,100,1,0.9987457,0.8500133,0.9183968,Thu_Mar__7_18_21_19_2024
413,Both,Uniform,0.1,0,0.3507853,0.9663462,0.5147247,Wed_Mar__6_22_25_57_2024
414,Both,Uniform,1,0,0.9928092,0.962808,0.9775785,Wed_Mar_13_00_43_43_2024
415,Both,Uniform,0.1,1,0.3176044,0.8373206,0.4605263,Wed_Mar__6_22_26_10_2024
416,Both,Uniform,0.1,1,0.3107143,0.8325359,0.4525358,Thu_Mar_14_17_53_01_2024
417,Both,Uniform,1,1,0.9276991,0.8783534,0.9023521,Wed_Mar_13_00_44_01_2024
418,Both,Uniform,100,0,1.0,0.9534294,0.9761596,Wed_Mar_13_00_43_56_2024
419,Both,Uniform,1,1,0.9291646,0.879741,0.9037776,Thu_Mar_14_17_53_08_2024
420,Both,Uniform,1,0,0.9928264,0.9651325,0.9787836,Thu_Mar_14_17_52_43_2024
421,Both,Uniform,100,1,0.9992198,0.8545503,0.92124,Wed_Mar_13_00_44_12_2024
422,Both,Uniform,100,0,1.0,0.9535629,0.9762295,Thu_Mar_14_17_52_55_2024
423,Both,Uniform,8,1,0.9972294,0.8699396,0.9292457,Wed_Mar__6_22_26_13_2024
424,Both,Uniform,0.1,0,0.3555166,0.9759615,0.521181,Wed_Mar_13_00_43_39_2024
425,Both,Uniform,8,1,0.9972309,0.8703927,0.9295048,Wed_Mar_13_00_44_03_2024
426,Both,Uniform,8,0,1.0,0.9501893,0.9744585,Thu_Mar__7_18_21_06_2024
427,Both,Uniform,8,1,0.9977501,0.8708459,0.9299887,Thu_Mar__7_18_21_17_2024
428,Both,Uniform,1,1,0.9253659,0.8774283,0.9007597,Wed_Mar__6_22_26_13_2024
429,Both,Uniform,100,1,0.9985948,0.8534828,0.920354,Wed_Mar__6_22_26_17_2024
430,Both,Uniform,0.1,0,0.3488774,0.9711538,0.5133418,Thu_Mar__7_18_21_00_2024
431,Both,Uniform,100,0,1.0,0.9543635,0.9766489,Wed_Mar__6_22_26_07_2024
432,Both,Uniform,8,0,1.0,0.9486752,0.9736617,Wed_Mar__6_22_26_03_2024
433,Both,Uniform,100,0,1.0,0.953296,0.9760896,Thu_Mar__7_18_21_09_2024
434,Both,Uniform,8,0,1.0,0.9485238,0.973582,Thu_Mar_14_17_52_47_2024
435,Both,Uniform,100,1,0.9987488,0.8521484,0.9196429,Thu_Mar_14_17_53_13_2024
436,Both,Uniform,1,0,0.9932886,0.9632729,0.9780505,Wed_Mar__6_22_25_58_2024
437,Both,Uniform,0.1,1,0.3218182,0.84689,0.4664032,Thu_Mar__7_18_21_12_2024
438,No Diri,BNBD4,100,1,0.9951974,0.8848412,0.9367804,Thu_Mar__7_16_48_42_2024
439,No Diri,BNBD4,1,1,0.9314933,0.8741906,0.9019327,Thu_Mar__7_16_48_38_2024
440,No Diri,BNBD4,0.1,0,0.9613527,0.9567308,0.9590361,Wed_Mar__6_21_59_11_2024
441,No Diri,BNBD4,8,0,1.0,0.9521575,0.9754925,Wed_Mar__6_21_59_15_2024
442,No Diri,BNBD4,100,0,0.9995803,0.9534294,0.9759596,Wed_Mar__6_21_59_16_2024
443,No Diri,BNBD4,1,0,0.9966298,0.9623431,0.9791864,Thu_Mar__7_16_48_26_2024
444,No Diri,BNBD4,0.1,1,0.316726,0.8516746,0.461738,Thu_Mar__7_16_48_36_2024
445,No Diri,BNBD4,0.1,1,0.3207885,0.8564593,0.4667536,Wed_Mar__6_21_59_18_2024
446,No Diri,BNBD4,8,1,0.9883236,0.8950151,0.9393579,Thu_Mar__7_16_48_40_2024
447,No Diri,BNBD4,0.1,0,0.9613527,0.9567308,0.9590361,Thu_Mar__7_16_48_26_2024
448,No Diri,BNBD4,100,0,1.0,0.9544969,0.9767188,Thu_Mar__7_16_48_34_2024
449,No Diri,BNBD4,100,1,0.9972908,0.884174,0.937332,Wed_Mar__6_21_59_23_2024
450,No Diri,BNBD4,8,0,1.0,0.9518547,0.9753335,Thu_Mar__7_16_48_30_2024
451,No Diri,BNBD4,1,1,0.9283611,0.8751156,0.9009524,Wed_Mar__6_21_59_20_2024
452,No Diri,BNBD4,8,1,0.9894402,0.8916918,0.9380264,Wed_Mar__6_21_59_22_2024
453,No Diri,BNBD4,1,0,0.9942474,0.9642027,0.9789946,Wed_Mar__6_21_59_12_2024
454,No Diri,BNBD4,8,1,0.9924497,0.8935045,0.9403816,Mon_Feb_19_22_38_15_2024
455,No Diri,BNBD4,100,1,0.9963899,0.8839071,0.936784,Wed_Mar__6_21_59_45_2024
456,No Diri,BNBD4,0.1,1,0.2543103,0.84689,0.3911602,Fri_Feb_23_22_36_59_2024
457,No Diri,BNBD4,8,0,1.0,0.9506435,0.9746973,Mon_Feb_19_22_37_30_2024
458,No Diri,BNBD4,8,1,0.9898215,0.8960725,0.9406168,Wed_Mar__6_21_59_43_2024
459,No Diri,BNBD4,8,0,1.0,0.9520061,0.975413,Thu_Mar__7_17_11_57_2024
460,No Diri,BNBD4,1,0,0.9956814,0.9646676,0.9799292,Wed_Mar__6_21_59_30_2024
461,No Diri,BNBD4,1,1,0.9284314,0.8760407,0.9014755,Thu_Mar__7_17_12_05_2024
462,No Diri,BNBD4,100,1,0.9945767,0.8809714,0.9343334,Mon_Feb_19_22_38_24_2024
463,No Diri,BNBD4,100,0,0.9995802,0.9531625,0.9758197,Wed_Mar__6_21_59_36_2024
464,No Diri,BNBD4,0.1,0,0.9708738,0.9615385,0.9661836,Mon_Feb_19_22_37_20_2024
465,No Diri,BNBD4,0.1,0,0.9660194,0.9567308,0.9613527,Wed_Mar__6_21_59_28_2024
466,No Diri,BNBD4,8,0,1.0,0.9517033,0.9752541,Wed_Mar__6_21_59_31_2024
467,No Diri,BNBD4,100,0,1.0,0.9542301,0.976579,Thu_Mar__7_17_11_58_2024
468,No Diri,BNBD4,1,0,0.9947192,0.9632729,0.9787435,Thu_Mar__7_17_11_53_2024
469,No Diri,BNBD4,100,0,1.0,0.9546304,0.9767886,Mon_Feb_19_22_37_47_2024
470,No Diri,BNBD4,100,1,0.9954928,0.884174,0.9365371,Thu_Mar__7_17_12_09_2024
471,No Diri,BNBD4,0.1,0,0.9660194,0.9567308,0.9613527,Thu_Mar__7_17_11_51_2024
472,No Diri,BNBD4,8,1,0.9902929,0.8938066,0.9395792,Thu_Mar__7_17_12_07_2024
473,No Diri,BNBD4,0.1,1,0.3266055,0.8516746,0.4721485,Wed_Mar__6_21_59_38_2024
474,No Diri,BNBD4,1,0,0.994709,0.9614133,0.9777778,Mon_Feb_19_22_37_24_2024
475,No Diri,BNBD4,1,1,0.9288867,0.8760407,0.9016901,Wed_Mar__6_21_59_40_2024
476,No Diri,BNBD4,1,1,0.932645,0.8774283,0.9041945,Thu_Feb_22_23_26_40_2024
477,No Diri,BNBD4,0.1,1,0.330855,0.8516746,0.476573,Thu_Mar__7_17_12_02_2024
478,No Diri,BNBD4,1,0,0.993762,0.962808,0.9780401,Wed_Mar__6_22_26_36_2024
479,No Diri,BNBD4,0.1,1,0.3099825,0.84689,0.4538462,Fri_Mar__8_10_57_36_2024
480,No Diri,BNBD4,100,0,1.0,0.9543635,0.9766489,Wed_Mar__6_22_26_42_2024
481,No Diri,BNBD4,1,1,0.9314596,0.873728,0.9016706,Wed_Mar__6_22_26_49_2024
482,No Diri,BNBD4,0.1,0,0.9802956,0.9567308,0.9683698,Fri_Mar__8_10_57_22_2024
483,No Diri,BNBD4,0.1,1,0.3101045,0.8516746,0.4546616,Wed_Mar__6_22_26_42_2024
484,No Diri,BNBD4,8,0,1.0,0.9517033,0.9752541,Fri_Mar__8_10_57_27_2024
485,No Diri,BNBD4,1,1,0.9376546,0.8765032,0.9060483,Fri_Mar__8_10_57_40_2024
486,No Diri,BNBD4,100,1,0.9963812,0.8817721,0.9355798,Fri_Mar__8_10_57_47_2024
487,No Diri,BNBD4,0.1,0,0.9660194,0.9567308,0.9613527,Wed_Mar__6_22_26_32_2024
488,No Diri,BNBD4,8,1,0.9904634,0.8942598,0.9399063,Fri_Mar__8_10_57_43_2024
489,No Diri,BNBD4,100,1,0.9959374,0.8832399,0.9362093,Wed_Mar__6_22_26_56_2024
490,No Diri,BNBD4,8,0,1.0,0.9532173,0.9760484,Wed_Mar__6_22_26_36_2024
491,No Diri,BNBD4,8,1,0.9896338,0.8941088,0.9394493,Wed_Mar__6_22_26_52_2024
492,No Diri,BNBD4,1,0,0.9971056,0.9609484,0.9786932,Fri_Mar__8_10_57_25_2024
493,No Diri,BNBD4,100,0,1.0,0.9544969,0.9767188,Fri_Mar__8_10_57_30_2024
494,No Diri,BNBD4,0.1,1,0.3177738,0.84689,0.462141,Wed_Mar_13_00_44_58_2024
495,No Diri,BNBD4,8,0,1.0,0.9523089,0.9755719,Fri_Mar_15_23_04_44_2024
496,No Diri,BNBD4,8,0,1.0,0.9501893,0.9744585,Thu_Mar_14_11_24_34_2024
497,No Diri,BNBD4,1,0,0.9956668,0.9614133,0.9782403,Wed_Mar__6_22_27_00_2024
498,No Diri,BNBD4,0.1,0,0.9753695,0.9519231,0.9635036,Wed_Mar_13_00_44_48_2024
499,No Diri,BNBD4,100,0,1.0,0.9548973,0.9769283,Wed_Mar__6_22_27_10_2024
500,No Diri,BNBD4,8,0,0.999841,0.9518547,0.9752579,Sat_Mar__9_08_02_08_2024
501,No Diri,BNBD4,8,1,0.9878171,0.8941088,0.9386299,Wed_Mar__6_22_27_35_2024
502,No Diri,BNBD4,0.1,0,0.9565217,0.9519231,0.9542169,Fri_Mar_15_23_04_41_2024
503,No Diri,BNBD4,0.1,0,0.9705882,0.9519231,0.961165,Sat_Mar__9_08_01_59_2024
504,No Diri,BNBD4,1,0,0.9966378,0.9646676,0.9803922,Thu_Mar_14_11_24_32_2024
505,No Diri,BNBD4,100,1,0.9954901,0.8836402,0.9362364,Thu_Mar_14_11_24_49_2024
506,No Diri,BNBD4,8,1,0.9906558,0.8968278,0.9414097,Sat_Mar__9_08_02_19_2024
507,No Diri,BNBD4,100,1,0.9956292,0.8815052,0.935098,Wed_Mar__6_22_27_41_2024
508,No Diri,BNBD4,100,1,0.9953397,0.8835068,0.936095,Sat_Mar__9_08_02_24_2024
509,No Diri,BNBD4,8,0,1.0,0.9523089,0.9755719,Wed_Mar__6_22_27_06_2024
510,No Diri,BNBD4,1,1,0.9349754,0.8778908,0.9055344,Wed_Mar_13_00_45_05_2024
511,No Diri,BNBD4,8,1,0.9891141,0.892145,0.9381304,Wed_Mar_13_00_45_08_2024
512,No Diri,BNBD4,1,1,0.9319527,0.8741906,0.902148,Thu_Mar_14_11_24_43_2024
513,No Diri,BNBD4,100,0,1.0,0.955431,0.9772076,Sat_Mar__9_08_02_08_2024
514,No Diri,BNBD4,1,1,0.9344505,0.8769658,0.904796,Sat_Mar__9_08_02_17_2024
515,No Diri,BNBD4,1,0,0.996152,0.962808,0.9791962,Fri_Mar_15_23_04_42_2024
516,No Diri,BNBD4,1,0,0.9966314,0.962808,0.9794278,Sat_Mar__9_08_02_03_2024
517,No Diri,BNBD4,100,0,1.0,0.9539632,0.9764393,Wed_Mar_13_00_44_56_2024
518,No Diri,BNBD4,0.1,1,0.3202147,0.8564593,0.4661458,Sat_Mar__9_08_02_13_2024
519,No Diri,BNBD4,1,0,0.996152,0.962808,0.9791962,Wed_Mar_13_00_44_51_2024
520,No Diri,BNBD4,100,1,0.9963828,0.8821724,0.9358058,Wed_Mar_13_00_45_12_2024
521,No Diri,BNBD4,0.1,0,0.9707317,0.9567308,0.9636804,Thu_Mar_14_11_24_29_2024
522,No Diri,BNBD4,8,1,0.9892833,0.8924471,0.9383736,Thu_Mar_14_11_24_46_2024
523,No Diri,BNBD4,100,0,1.0,0.9544969,0.9767188,Fri_Mar_15_23_04_48_2024
524,No Diri,BNBD4,0.1,0,0.9615385,0.9615385,0.9615385,Wed_Mar__6_22_26_57_2024
525,No Diri,BNBD4,0.1,1,0.3160714,0.84689,0.4603381,Thu_Mar_14_11_24_41_2024
526,No Diri,BNBD4,8,0,1.0,0.9523089,0.9755719,Wed_Mar_13_00_44_53_2024
527,No Diri,BNBD4,100,0,1.0,0.9536963,0.9762994,Thu_Mar_14_11_24_39_2024
528,No Diri,BNBD4,1,1,0.9358342,0.8769658,0.9054441,Wed_Mar__6_22_27_28_2024
529,No Diri,BNBD4,0.1,1,0.3122807,0.8516746,0.4569961,Wed_Mar__6_22_27_21_2024
530,Neither,Pitman,1,0,0.9951621,0.9562994,0.9753438,Fri_Mar__8_18_42_11_2024
531,Neither,Pitman,100,1,0.9945152,0.8226581,0.9004601,Fri_Mar__8_18_42_44_2024
532,Neither,Pitman,0.1,1,0.9314286,0.7799043,0.8489583,Wed_Mar__6_22_01_13_2024
