,model,prior,duplicates,distortion,m1,m2,m3,date
62,Both,Pitman,1,0,1.0,0.9272727,0.9622642,Wed_Mar_13_00_37_12_2024
63,Both,Pitman,8,1,0.9986729,0.6820242,0.8105197,Mon_Mar_18_01_21_42_2024
64,Both,Pitman,0.1,1,1.0,0.7333333,0.8461538,Wed_Mar__6_21_53_38_2024
65,Both,Pitman,8,0,1.0,0.9503407,0.9745381,Mon_Mar_18_01_20_49_2024
66,Both,Pitman,100,0,1.0,0.9542301,0.976579,Mon_Mar_18_01_22_32_2024
67,Both,Pitman,8,0,1.0,0.9510977,0.974936,Mon_Mar_18_01_20_22_2024
68,Both,Pitman,0.1,1,1.0,0.7333333,0.8461538,Wed_Mar_13_02_57_48_2024
69,Both,Pitman,8,1,0.9991121,0.6799094,0.8091685,Mon_Mar_18_01_21_34_2024
70,Both,Pitman,100,0,1.0,0.9560982,0.9775564,Mon_Mar_18_01_22_23_2024
71,Both,Pitman,1,0,1.0,0.9292929,0.9633508,Wed_Mar__6_23_30_19_2024
72,Both,Pitman,100,1,0.9980004,0.6659995,0.7988796,Mon_Mar_18_01_24_18_2024
73,Both,Pitman,0.1,1,1.0,0.7333333,0.8461538,Wed_Mar_13_00_37_26_2024
74,Both,Pitman,1,0,1.0,0.9333333,0.9655172,Wed_Mar_13_02_57_33_2024
75,Both,Pitman,1,1,0.9852659,0.7113784,0.8262154,Mon_Mar_18_01_25_25_2024
76,Both,Pitman,100,1,0.9986045,0.6684014,0.8007994,Mon_Mar_18_01_24_51_2024
77,Both,Pitman,1,1,0.9859245,0.712766,0.8273826,Mon_Mar_18_01_20_51_2024
78,Both,Pitman,0.1,0,0.9836066,0.952381,0.9677419,Wed_Mar_13_02_57_31_2024
79,Both,Pitman,1,1,0.9808917,0.7123034,0.8252947,Mon_Mar_18_01_07_14_2024
80,Both,Pitman,100,1,0.9988022,0.6676007,0.8002879,Mon_Mar_18_01_24_46_2024
81,Both,Pitman,1,0,1.0,0.9232323,0.960084,Wed_Mar_13_02_54_23_2024
82,Both,Pitman,1,1,0.9827586,0.7118409,0.8256438,Mon_Mar_18_01_20_53_2024
83,Both,Pitman,1,0,1.0,0.9272727,0.9622642,Wed_Mar__6_23_32_18_2024
84,Both,Pitman,100,1,0.9985966,0.6646651,0.7981093,Mon_Mar_18_01_24_26_2024
85,Both,Pitman,0.1,0,0.9677419,0.952381,0.96,Wed_Mar_13_02_54_21_2024
86,Both,Pitman,0.1,0,0.9836066,0.952381,0.9677419,Wed_Mar__6_21_53_39_2024
87,Both,Pitman,8,1,0.9991129,0.6805136,0.8095965,Mon_Mar_18_01_21_54_2024
88,Both,Pitman,8,0,1.0,0.9510977,0.974936,Mon_Mar_18_01_25_24_2024
89,Both,Pitman,0.1,1,1.0,0.75,0.8571429,Wed_Mar_13_02_54_33_2024
90,Both,Pitman,0.1,1,1.0,0.7333333,0.8461538,Wed_Mar__6_21_53_49_2024
91,Both,Pitman,1,0,1.0,0.9232323,0.960084,Wed_Mar__6_21_53_42_2024
92,Both,Pitman,100,0,1.0,0.955431,0.9772076,Mon_Mar_18_01_25_38_2024
93,Both,Pitman,1,0,1.0,0.9292929,0.9633508,Wed_Mar_13_00_37_16_2024
94,Both,Pitman,0.1,0,0.9836066,0.952381,0.9677419,Wed_Mar_13_00_37_12_2024
95,Both,Pitman,0.1,1,1.0,0.75,0.8571429,Wed_Mar__6_23_32_25_2024
96,Both,Pitman,0.1,1,1.0,0.75,0.8571429,Wed_Mar_13_00_37_24_2024
97,Both,Pitman,0.1,0,0.9836066,0.952381,0.9677419,Wed_Mar__6_23_32_16_2024
98,No Diri,Uniform,0.1,1,0.2778702,0.7990431,0.4123457,Wed_Mar__6_21_54_33_2024
99,No Diri,Uniform,0.1,0,0.28125,0.9519231,0.4342105,Sat_Mar__9_00_30_19_2024
100,No Diri,Uniform,100,0,1.0,0.9527622,0.9758098,Sat_Mar__9_00_30_28_2024
101,No Diri,Uniform,8,0,1.0,0.9494322,0.9740603,Sat_Mar__9_00_30_25_2024
102,No Diri,Uniform,1,1,0.9731051,0.7363552,0.838336,Wed_Mar__6_21_54_37_2024
103,No Diri,Uniform,0.1,1,0.2830508,0.7990431,0.4180225,Sat_Mar__9_00_30_32_2024
104,No Diri,Uniform,1,1,0.9784748,0.7358927,0.8400211,Sat_Mar__9_00_30_36_2024
105,No Diri,Uniform,100,1,0.9993444,0.6102215,0.7577465,Sat_Mar__9_00_30_43_2024
106,No Diri,Uniform,1,0,0.993253,0.958159,0.9753904,Wed_Mar__6_21_54_22_2024
107,No Diri,Uniform,100,0,1.0,0.9518281,0.9753196,Wed_Mar__6_21_54_30_2024
108,No Diri,Uniform,1,0,0.9922481,0.9521153,0.9717675,Sat_Mar__9_00_30_22_2024
109,No Diri,Uniform,8,1,0.9988132,0.6356495,0.7768854,Wed_Mar__6_21_54_40_2024
110,No Diri,Uniform,8,1,0.9988171,0.6377644,0.7784641,Sat_Mar__9_00_30_40_2024
111,No Diri,Uniform,0.1,0,0.2824536,0.9519231,0.4356436,Wed_Mar__6_21_54_20_2024
112,No Diri,Uniform,8,0,1.0,0.949735,0.9742196,Wed_Mar__6_21_54_25_2024
113,No Diri,Uniform,100,1,0.9997813,0.6100881,0.7577691,Wed_Mar__6_21_54_44_2024
114,No Diri,Uniform,0.1,0,0.2840746,0.9519231,0.4375691,Wed_Mar__6_21_54_34_2024
115,No Diri,Uniform,8,0,1.0,0.9486752,0.9736617,Fri_Mar__8_21_52_28_2024
116,No Diri,Uniform,100,0,1.0,0.9527622,0.9758098,Fri_Mar__8_21_52_29_2024
117,No Diri,Uniform,100,0,1.0,0.9530291,0.9759497,Mon_Feb_12_10_06_59_2024
118,No Diri,Uniform,8,0,1.0,0.9488266,0.9737415,Mon_Feb_12_10_06_58_2024
119,No Diri,Uniform,100,1,0.9986959,0.6131572,0.7598181,Wed_Mar__6_21_54_55_2024
120,No Diri,Uniform,0.1,0,0.2832618,0.9519231,0.4366042,Fri_Mar__8_21_52_22_2024
121,No Diri,Uniform,0.1,1,0.2760331,0.7990431,0.4103194,Wed_Mar__6_21_54_49_2024
122,No Diri,Uniform,100,0,1.0,0.9539632,0.9764393,Wed_Mar__6_21_54_40_2024
123,No Diri,Uniform,8,1,0.999055,0.6388218,0.7793237,Wed_Mar__6_21_54_57_2024
124,No Diri,Uniform,100,1,0.9995621,0.609154,0.7569853,Fri_Mar__8_21_52_47_2024
125,No Diri,Uniform,8,0,1.0,0.9498864,0.9742992,Wed_Mar__6_21_54_42_2024
126,No Diri,Uniform,0.1,1,0.2760331,0.7990431,0.4103194,Fri_Mar__8_21_52_37_2024
127,No Diri,Uniform,100,1,0.9993474,0.6130238,0.7599041,Tue_Feb_20_14_58_25_2024
128,No Diri,Uniform,0.1,0,0.2788732,0.9519231,0.4313725,Mon_Feb_19_22_28_23_2024
129,No Diri,Uniform,1,0,0.9922368,0.9507206,0.9710351,Fri_Mar__8_21_52_26_2024
130,No Diri,Uniform,0.1,1,0.2781457,0.8038278,0.4132841,Tue_Feb_20_14_58_17_2024
131,No Diri,Uniform,1,1,0.9730722,0.7354302,0.8377239,Fri_Mar__8_21_52_41_2024
132,No Diri,Uniform,1,1,0.9760883,0.7363552,0.8394411,Tue_Feb_20_14_58_18_2024
133,No Diri,Uniform,1,0,0.9936924,0.9521153,0.9724596,Wed_Mar__6_21_54_36_2024
134,No Diri,Uniform,1,1,0.9754752,0.7358927,0.8389138,Wed_Mar__6_21_54_53_2024
135,No Diri,Uniform,1,0,0.9932138,0.9525802,0.9724727,Mon_Feb_12_10_06_54_2024
136,No Diri,Uniform,8,1,0.9985762,0.6356495,0.7768137,Tue_Feb_20_14_58_21_2024
137,No Diri,Uniform,8,1,0.9988149,0.6365559,0.7775625,Fri_Mar__8_21_52_39_2024
138,No Diri,Uniform,8,1,0.9988149,0.6365559,0.7775625,Wed_Mar__6_22_24_08_2024
139,No Diri,Uniform,1,1,0.9737965,0.7391304,0.8403892,Wed_Mar__6_22_24_04_2024
140,No Diri,Uniform,0.1,0,0.2920354,0.9519231,0.4469526,Fri_Mar__8_22_42_19_2024
141,No Diri,Uniform,8,0,1.0,0.9495836,0.9741399,Wed_Mar__6_22_23_55_2024
142,No Diri,Uniform,100,0,1.0,0.9522284,0.9755297,Wed_Mar__6_22_23_57_2024
143,No Diri,Uniform,0.1,0,0.2824536,0.9519231,0.4356436,Wed_Mar__6_22_23_49_2024
144,No Diri,Uniform,100,1,0.9995631,0.6106218,0.758118,Wed_Mar__6_22_24_11_2024
145,No Diri,Uniform,8,0,1.0,0.9501893,0.9744585,Fri_Mar__8_22_42_24_2024
146,No Diri,Uniform,1,0,0.9898698,0.9539749,0.9715909,Fri_Mar__8_22_42_21_2024
147,No Diri,Uniform,100,0,1.0,0.9534294,0.9761596,Fri_Mar__8_22_42_30_2024
148,No Diri,Uniform,1,0,0.9922556,0.9530451,0.9722552,Wed_Mar__6_22_23_51_2024
149,No Diri,Uniform,0.1,1,0.2899306,0.7990431,0.4254777,Wed_Mar__6_22_24_02_2024
150,No Diri,Uniform,8,1,0.9988252,0.642145,0.7817212,Fri_Mar__8_22_42_42_2024
151,No Diri,Uniform,100,1,0.9995645,0.61249,0.7595565,Fri_Mar__8_22_42_46_2024
152,No Diri,Uniform,1,1,0.9767157,0.7372803,0.8402741,Fri_Mar__8_22_42_38_2024
153,No Diri,Uniform,0.1,1,0.2760331,0.7990431,0.4103194,Fri_Mar__8_22_42_30_2024
154,No Diri,Uniform,1,1,0.9748775,0.7358927,0.8386927,Wed_Mar__6_22_24_33_2024
155,No Diri,Uniform,8,0,1.0,0.948978,0.9738212,Wed_Mar_13_00_39_30_2024
156,No Diri,Uniform,8,1,0.9988166,0.6374622,0.7782388,Wed_Mar__6_22_24_39_2024
157,No Diri,Uniform,100,0,1.0,0.9519616,0.9753897,Wed_Mar__6_22_24_14_2024
158,No Diri,Uniform,100,1,0.999346,0.6116894,0.7588776,Wed_Mar_13_00_40_46_2024
159,No Diri,Uniform,8,1,0.9990521,0.636858,0.7778598,Wed_Mar_13_00_40_24_2024
160,No Diri,Uniform,100,0,1.0,0.9539632,0.9764393,Wed_Mar_13_00_39_58_2024
161,No Diri,Uniform,1,0,0.9946628,0.9530451,0.9734093,Wed_Mar_13_00_39_26_2024
162,No Diri,Uniform,1,0,0.9922556,0.9530451,0.9722552,Wed_Mar__6_22_24_10_2024
163,No Diri,Uniform,100,1,0.9993455,0.611289,0.7585693,Wed_Mar__6_22_24_45_2024
164,No Diri,Uniform,8,0,1.0,0.9501893,0.9744585,Wed_Mar__6_22_24_11_2024
165,No Diri,Uniform,0.1,0,0.2857143,0.9519231,0.4395117,Wed_Mar__6_22_24_06_2024
166,No Diri,Uniform,0.1,0,0.2765363,0.9519231,0.4285714,Wed_Mar_13_00_39_15_2024
167,No Diri,Uniform,0.1,1,0.2835314,0.7990431,0.4185464,Wed_Mar__6_22_24_27_2024
168,No Diri,Uniform,1,1,0.9748775,0.7358927,0.8386927,Wed_Mar__6_22_24_33_2024
169,No Diri,Uniform,8,0,1.0,0.9494322,0.9740603,Sat_Mar__9_00_30_25_2024
170,No Diri,Uniform,8,1,0.9988166,0.6374622,0.7782388,Wed_Mar__6_22_24_39_2024
171,No Diri,Uniform,100,0,1.0,0.9519616,0.9753897,Wed_Mar__6_22_24_14_2024
172,No Diri,Uniform,1,0,0.9922556,0.9530451,0.9722552,Wed_Mar__6_22_24_10_2024
173,No Diri,Uniform,100,1,0.9993455,0.611289,0.7585693,Wed_Mar__6_22_24_45_2024
174,No Diri,Uniform,0.1,0,0.2857143,0.9519231,0.4395117,Wed_Mar__6_22_24_06_2024
175,No Diri,Uniform,1,1,0.9767157,0.7372803,0.8402741,Fri_Mar__8_22_42_38_2024
176,No Diri,Uniform,0.1,1,0.2760331,0.7990431,0.4103194,Fri_Mar__8_22_42_30_2024
177,No Diri,Uniform,0.1,1,0.2835314,0.7990431,0.4185464,Wed_Mar__6_22_24_27_2024
178,Neither,BNBD4,100,1,0.998101,0.7013611,0.8238245,Wed_Mar__6_21_56_04_2024
179,Neither,BNBD4,8,0,0.999841,0.9521575,0.9754168,Sat_Mar__9_04_42_37_2024
180,Neither,BNBD4,100,0,1.0,0.9540966,0.9765092,Wed_Mar__6_21_55_42_2024
181,Neither,BNBD4,1,1,0.983344,0.7099907,0.8246038,Wed_Mar_13_00_41_11_2024
182,Neither,BNBD4,0.1,0,0.980198,0.9519231,0.9658537,Wed_Mar__6_21_55_35_2024
183,Neither,BNBD4,1,0,0.9965937,0.9521153,0.9738469,Wed_Mar_13_00_41_02_2024
184,Neither,BNBD4,1,1,0.9833333,0.7095282,0.824288,Wed_Mar__6_21_55_55_2024
185,Neither,BNBD4,8,1,0.9980806,0.7069486,0.8276594,Mon_Mar_11_12_58_19_2024
186,Neither,BNBD4,1,0,0.9946446,0.9497908,0.9717004,Sat_Mar__9_04_42_23_2024
187,Neither,BNBD4,100,0,1.0,0.9542301,0.976579,Sat_Mar__9_04_42_44_2024
188,Neither,BNBD4,100,1,0.9986662,0.6993595,0.8226338,Mon_Mar_11_12_58_35_2024
189,Neither,BNBD4,0.1,1,0.9798658,0.6985646,0.8156425,Wed_Mar__6_21_55_50_2024
190,Neither,BNBD4,8,1,0.9976435,0.7034743,0.825124,Wed_Mar__6_21_56_00_2024
191,Neither,BNBD4,8,0,0.9998411,0.9527631,0.9757346,Wed_Mar__6_21_55_42_2024
192,Neither,BNBD4,0.1,0,0.9800995,0.9471154,0.9633252,Sat_Mar__9_04_42_19_2024
193,Neither,BNBD4,1,0,0.9956226,0.9516504,0.97314,Wed_Mar__6_21_55_38_2024
