,model,prior,duplicates_level,distortion_level,num_iter,precision_median,recall_median,f1score_median,precision_std,recall_std,f1score_std,precision_lower_bound,precision_upper_bound,recall_lower_bound,recall_upper_bound,f1score_lower_bound,f1score_upper_bound
27,Both,Pitman,Medium,Low,50000,1.0,0.9272727,0.9622642,0.0004882230822072901,0.004035080182024715,0.002232568708060414,0.998853715,1.0,0.9232323,0.9333333,0.959555115,0.9655172
28,Both,Pitman,Very High,High,10000,0.99919705,0.8075117,0.8932149,0.001736299574230677,0.016545387728128524,0.009963708325428354,0.9950971900000001,1.0,0.78358484,0.8387156175,0.8780570025000001,0.911458395
29,Both,Pitman,Very High,High,50000,1.0,0.7162978,0.8344733,0.0017937448919127838,0.029916648881754552,0.01930378736555616,0.99496382,1.0,0.70617033,0.8086015875,0.827271655,0.894172365
30,Both,Pitman,Very High,Low,10000,1.0,0.921762,0.9592884,0.0,0.0005753345969040149,0.0003113909269205174,1.0,1.0,0.9214168125,0.9230769,0.959101395,0.96
31,Both,Pitman,Very High,Low,50000,1.0,0.9230769,0.96,0.0,0.001314915789538995,0.00071068706287793,1.0,1.0,0.921762,0.9257396225,0.9592884,0.9614378775
32,Both,uniform,High,High,10000,1.0,0.70823345,0.82916485,0.0014914483389962608,0.033767394308157755,0.023680924343011753,0.996578125,1.0,0.6340727275,0.7423261449999999,0.775874895,0.8518463225
33,Both,uniform,High,High,50000,1.0,0.6478817,0.78632055,0.00027709354377177155,0.010458698892163745,0.007596634909366825,0.99934942,1.0,0.6394884,0.678137475,0.7801073,0.8081893124999999
34,Both,uniform,High,Low,10000,1.0,0.936901,0.9674227,0.0,0.0013925004809221568,0.0007425542715412204,1.0,1.0,0.9344648649999999,0.9389177175,0.9661221550000001,0.9684966724999999
35,Both,uniform,High,Low,50000,1.0,0.9404952,0.9693352,0.0,0.0025443160604312503,0.0013510870456200025,1.0,1.0,0.936901,0.9448882,0.9674227,0.9716632
36,Both,uniform,Low,High,10000,0.5025773,0.8166667,0.619804,0.04401466052824842,0.014204029574055064,0.034002966164585896,0.381883725,0.5482662425,0.8,0.85,0.5268082399999999,0.6532040525
37,Both,uniform,Low,High,50000,0.5131030999999999,0.8166667,0.6282051,0.019811285548423124,0.0037267874160595476,0.014680296919785145,0.489803975,0.5584162775,0.8079166825,0.8166667,0.6123325374999999,0.6631057375
38,Both,uniform,Low,Low,10000,0.41960095,0.952381,0.582538,0.02326627962989402,0.0,0.022399841735192782,0.37831544,0.4626865825,0.952381,0.952381,0.541467865,0.6226734374999999
39,Both,uniform,Low,Low,50000,0.42403355,0.952381,0.5868006,0.012846410702067098,0.0,0.012206437472993699,0.4109589,0.4497474775,0.952381,0.952381,0.5741627,0.6109557
