,model,prior,duplicates_level,distortion_level,num_iter,replicates,precision,recall,f1score
85,Both,Pitman,High,Low,10000,19,1.0,0.936901,0.9674227
86,Both,Pitman,Low,Low,10000,19,0.9836066,0.952381,0.9677419
87,Both,Pitman,Medium,Low,10000,19,1.0,0.9232323,0.960084
88,Both,Pitman,Very High,High,10000,4,1.0,0.8034876,0.8910376
89,Both,Pitman,Low,Low,10000,4,0.9677419,0.952381,0.96
90,Both,Pitman,Medium,High,10000,4,0.9889503,0.7351129,0.8433451
91,Both,Pitman,Medium,Low,10000,4,1.0,0.9272727,0.9622642
92,Both,Pitman,Very High,Low,10000,4,1.0,0.921762,0.9592884
93,Both,Pitman,High,High,10000,4,1.0,0.7545963,0.8601367
94,Both,Pitman,High,Low,10000,4,1.0,0.936901,0.9674227
95,Both,Pitman,Low,High,10000,4,1.0,0.7166667,0.8349515
96,Both,Pitman,Medium,High,10000,6,0.984252,0.7700205,0.8640553
97,Both,Pitman,Medium,Low,10000,6,1.0,0.9232323,0.960084
98,Both,Pitman,High,High,10000,6,0.9967949,0.7458034,0.8532236
99,Both,Pitman,Low,Low,10000,6,0.9677419,0.952381,0.96
100,Both,Pitman,Low,High,10000,6,1.0,0.75,0.8571429
101,Both,Pitman,Very High,Low,10000,6,1.0,0.921762,0.9592884
102,Both,Pitman,Very High,High,10000,6,1.0,0.8115359,0.8959645
103,Both,Pitman,High,Low,10000,6,1.0,0.9400958,0.9691231
104,Both,Pitman,Low,Low,10000,8,0.9677419,0.952381,0.96
105,Both,Pitman,Medium,High,10000,8,0.9917127,0.7371663,0.8457008
106,Both,Pitman,High,High,10000,8,1.0,0.7466027,0.8549199
107,Both,Pitman,High,Low,10000,8,1.0,0.936901,0.9674227
108,Both,Pitman,Very High,High,10000,8,0.9975166,0.8081824,0.8929233
109,Both,Pitman,Medium,Low,10000,8,1.0,0.9232323,0.960084
110,Both,Pitman,Very High,Low,10000,8,1.0,0.921762,0.9592884
111,Both,Pitman,Low,High,10000,8,1.0,0.7333333,0.8461538
112,Both,Pitman,High,Low,10000,10,1.0,0.9376997,0.9678483
113,Both,Pitman,Very High,High,10000,10,1.0,0.8021462,0.8902121
114,Both,Pitman,Very High,Low,10000,10,1.0,0.9230769,0.96
115,Both,Pitman,High,High,10000,10,1.0,0.7458034,0.8543956
116,Both,Pitman,Medium,Low,10000,10,1.0,0.9292929,0.9633508
117,Both,Pitman,Low,Low,10000,10,0.9836066,0.952381,0.9677419
118,Both,Pitman,Medium,High,10000,10,0.9974227,0.7946612,0.8845714
119,Both,Pitman,Low,High,10000,10,1.0,0.7333333,0.8461538
120,Both,Pitman,Medium,High,10000,12,0.9944444,0.7351129,0.8453365
121,Both,Pitman,Low,High,10000,12,1.0,0.7333333,0.8461538
122,Both,Pitman,Medium,Low,10000,12,1.0,0.9232323,0.960084
123,Both,Pitman,Very High,Low,10000,12,1.0,0.921762,0.9592884
124,Both,Pitman,Low,Low,10000,12,0.9677419,0.952381,0.96
125,Both,Pitman,Very High,High,10000,12,1.0,0.8296445,0.9068915
126,Both,Pitman,High,High,10000,12,1.0,0.7410072,0.8512397
127,Both,Pitman,High,Low,10000,12,1.0,0.936901,0.9674227
128,Both,Pitman,High,High,10000,14,1.0,0.6898481,0.8164617
129,Both,Pitman,Medium,High,10000,14,0.9891008,0.7453799,0.8501171
130,Both,Pitman,Very High,Low,10000,14,1.0,0.9230769,0.96
131,Both,Pitman,Low,Low,10000,14,0.9677419,0.952381,0.96
132,Both,Pitman,Medium,Low,10000,14,0.9978166,0.9232323,0.9590766
133,Both,Pitman,Low,High,10000,14,1.0,0.7333333,0.8461538
134,Both,Pitman,High,Low,10000,14,1.0,0.936901,0.9674227
135,Both,Pitman,Very High,High,10000,14,0.9992006,0.8383635,0.9117433
136,Both,Pitman,Very High,Low,10000,16,1.0,0.921762,0.9592884
137,Both,Pitman,Low,Low,10000,16,0.9677419,0.952381,0.96
138,Both,Pitman,High,Low,10000,16,1.0,0.9353035,0.9665704
139,Both,Pitman,High,High,10000,16,1.0,0.6858513,0.8136558
140,Both,Pitman,Low,High,10000,16,1.0,0.7333333,0.8461538
141,Both,Pitman,Medium,High,10000,16,0.9793814,0.7802875,0.8685714
142,Both,Pitman,Medium,Low,10000,16,1.0,0.9191919,0.9578947
143,Both,Pitman,Very High,High,10000,16,0.9968127,0.8390342,0.9111435
144,Both,Pitman,Very High,High,10000,18,0.996769,0.8276325,0.9043606
145,Both,Pitman,Low,Low,10000,18,0.9836066,0.952381,0.9677419
146,Both,Pitman,Low,High,10000,18,1.0,0.7333333,0.8461538
147,Both,Pitman,High,Low,10000,18,1.0,0.9353035,0.9665704
148,Both,Pitman,Medium,Low,10000,18,1.0,0.9232323,0.960084
149,Both,Pitman,High,High,10000,18,1.0,0.7474021,0.8554437
150,Both,Pitman,Very High,Low,10000,18,1.0,0.921762,0.9592884
151,Both,Pitman,Medium,High,10000,18,0.9889197,0.7330595,0.8419811
152,Both,Pitman,Low,Low,10000,20,0.9836066,0.952381,0.9677419
153,Both,Pitman,Low,High,10000,20,1.0,0.75,0.8571429
154,Both,Pitman,Medium,Low,10000,20,1.0,0.9232323,0.960084
155,Both,Pitman,High,High,10000,20,0.9946638,0.745004,0.8519196
156,Both,Pitman,Very High,Low,10000,20,1.0,0.921762,0.9592884
157,Both,Pitman,Very High,High,10000,20,0.9935846,0.8309859,0.9050402
158,Both,Pitman,Medium,High,10000,20,0.9793282,0.7782341,0.8672769
159,Both,Pitman,High,Low,10000,20,1.0,0.936901,0.9674227
160,Both,uniform,Very High,High,10000,0,1.0,0.6760563,0.8067227
161,Both,uniform,High,Low,10000,0,1.0,0.936901,0.9674227
162,Both,uniform,Low,Low,10000,0,0.4225352,0.952381,0.5853659
163,Both,uniform,Medium,High,10000,0,0.9668367,0.7782341,0.8623436
164,Both,uniform,Very High,Low,10000,0,1.0,0.921762,0.9592884
165,Both,uniform,Medium,Low,10000,0,1.0,0.9272727,0.9622642
166,Both,uniform,High,High,10000,0,1.0,0.6298961,0.7729279
167,Both,uniform,Low,High,10000,0,0.4711538,0.8166667,0.597561
168,Both,uniform,Very High,High,10000,2,1.0,0.7619048,0.8648649
169,Both,uniform,Medium,High,10000,2,0.9719388,0.7823409,0.8668942
170,Both,uniform,Very High,Low,10000,2,1.0,0.9197896,0.9582192
171,Both,uniform,Medium,Low,10000,2,1.0,0.9232323,0.960084
172,Both,uniform,Low,Low,10000,2,0.4081633,0.952381,0.5714286
173,Both,uniform,High,Low,10000,2,1.0,0.9353035,0.9665704
174,Both,uniform,Low,High,10000,2,0.5268817,0.8166667,0.6405229
175,Both,uniform,High,High,10000,2,1.0,0.7114309,0.8313872
176,Both,uniform,High,High,10000,3,0.9965986,0.7026379,0.8241913
177,Both,uniform,Medium,High,10000,3,0.9865229,0.75154,0.8531469
178,Both,uniform,Low,Low,10000,3,0.3896104,0.952381,0.5529954
179,Both,uniform,Very High,Low,10000,3,1.0,0.9197896,0.9582192
180,Both,uniform,Very High,High,10000,3,1.0,0.7699531,0.8700265
181,Both,uniform,Low,High,10000,3,0.5051546,0.8166667,0.6242038
182,Both,uniform,High,Low,10000,3,1.0,0.9384984,0.9682736
183,Both,uniform,Medium,Low,10000,3,1.0,0.9272727,0.9622642
184,Both,uniform,Medium,High,10000,5,0.9719388,0.7823409,0.8668942
185,Both,uniform,Low,High,10000,5,0.5157895,0.8166667,0.6322581
186,Both,uniform,Very High,High,10000,5,1.0,0.7598927,0.8635671
187,Both,uniform,Low,Low,10000,5,0.4225352,0.952381,0.5853659
188,Both,uniform,Very High,Low,10000,5,1.0,0.9197896,0.9582192
189,Both,uniform,Medium,Low,10000,5,1.0,0.9191919,0.9578947
190,Both,uniform,High,High,10000,5,1.0,0.705036,0.8270042
191,Both,uniform,High,Low,10000,5,1.0,0.936901,0.9674227
192,Both,uniform,High,Low,10000,7,1.0,0.936901,0.9674227
193,Both,uniform,Low,High,10000,7,0.5051546,0.8166667,0.6242038
194,Both,uniform,High,High,10000,7,1.0,0.7114309,0.8313872
195,Both,uniform,Very High,Low,10000,7,1.0,0.921762,0.9592884
196,Both,uniform,Medium,Low,10000,7,1.0,0.9232323,0.960084
197,Both,uniform,Low,Low,10000,7,0.4761905,0.952381,0.6349206
198,Both,uniform,Very High,High,10000,7,1.0,0.787391,0.8810507
199,Both,uniform,Medium,High,10000,7,0.987013,0.7802875,0.8715596
200,Both,uniform,Medium,Low,10000,9,1.0,0.9191919,0.9578947
201,Both,uniform,High,High,10000,9,0.99875,0.638689,0.7791321
202,Both,uniform,Very High,High,10000,9,1.0,0.8014755,0.889799
203,Both,uniform,Very High,Low,10000,9,1.0,0.921762,0.9592884
204,Both,uniform,Low,High,10000,9,0.4949495,0.8166667,0.6163522
205,Both,uniform,Low,Low,10000,9,0.3703704,0.952381,0.5333333
206,Both,uniform,Medium,High,10000,9,0.9716495,0.7741273,0.8617143
207,Both,uniform,High,Low,10000,9,1.0,0.9384984,0.9682736
208,Both,uniform,Medium,High,10000,11,0.9811828,0.7494867,0.8498254
209,Both,uniform,Low,High,10000,11,0.5326087,0.8166667,0.6447368
210,Both,uniform,Very High,Low,10000,11,1.0,0.921762,0.9592884
211,Both,uniform,Very High,High,10000,11,1.0,0.7780013,0.8751415
212,Both,uniform,High,High,10000,11,1.0,0.6458833,0.784847
213,Both,uniform,Medium,Low,10000,11,0.9978166,0.9232323,0.9590766
214,Both,uniform,High,Low,10000,11,1.0,0.9392971,0.9686985
215,Both,uniform,Low,Low,10000,11,0.3870968,0.952381,0.5504587
216,Both,uniform,Medium,Low,10000,13,1.0,0.9232323,0.960084
217,Both,uniform,Low,Low,10000,13,0.4316547,0.952381,0.5940594
218,Both,uniform,Very High,Low,10000,13,1.0,0.9197896,0.9582192
219,Both,uniform,Very High,High,10000,13,1.0,0.7612341,0.8644326
220,Both,uniform,Medium,High,10000,13,0.9868074,0.7679671,0.8637413
221,Both,uniform,High,Low,10000,13,1.0,0.9376997,0.9678483
222,Both,uniform,Low,High,10000,13,0.5104167,0.8166667,0.6282051
223,Both,uniform,High,High,10000,13,1.0,0.7066347,0.828103
224,Both,uniform,High,Low,10000,15,1.0,0.9353035,0.9665704
225,Both,uniform,Very High,Low,10000,15,1.0,0.921762,0.9592884
226,Both,uniform,Low,High,10000,15,0.5,0.8166667,0.6202532
227,Both,uniform,Low,Low,10000,15,0.4137931,0.952381,0.5769231
228,Both,uniform,Medium,Low,10000,15,1.0,0.9232323,0.960084
229,Both,uniform,Medium,High,10000,15,0.9818653,0.7782341,0.8682703
230,Both,uniform,High,High,10000,15,0.9966368,0.7106315,0.829678
231,Both,uniform,Very High,High,10000,15,1.0,0.8122066,0.8963731
232,Both,uniform,High,Low,10000,17,1.0,0.936901,0.9674227
233,Both,uniform,High,High,10000,17,1.0,0.6442846,0.7836655
234,Both,uniform,Low,High,10000,17,0.4711538,0.8166667,0.597561
235,Both,uniform,Medium,High,10000,17,0.9890411,0.7412731,0.8474178
236,Both,uniform,Low,Low,10000,17,0.4316547,0.952381,0.5940594
237,Both,uniform,Very High,High,10000,17,1.0,0.665996,0.7995169
238,Both,uniform,Medium,Low,10000,17,1.0,0.9232323,0.960084
239,Both,uniform,Very High,Low,10000,17,1.0,0.921762,0.9592884
240,Both,uniform,Low,High,10000,19,0.5,0.8,0.6153846
241,Both,uniform,High,Low,10000,19,1.0,0.936901,0.9674227
242,Both,uniform,Very High,Low,10000,19,1.0,0.9197896,0.9582192
243,Both,uniform,Medium,High,10000,19,0.9811321,0.7474333,0.8484848
244,Both,uniform,Low,Low,10000,19,0.4225352,0.952381,0.5853659
