,model,prior,duplicates_level,distortion_level,precision_median,recall_median,f1score_median,precision_lower_bound,precision_upper_bound,recall_lower_bound,recall_upper_bound,f1score_lower_bound,f1score_upper_bound
46,Neither,BNBD10,Very High,High,0.9947705499999999,0.8296445,0.9047097,0.99199504,0.999639145,0.82219983,0.8355298925,0.9004699775,0.9094742050000001
47,Neither,BNBD10,Very High,Low,1.0,0.921762,0.9592884,1.0,1.0,0.9212524375,0.9235864625,0.959012345,0.960275435
48,Neither,BNBD2,High,High,0.9923077,0.3077538,0.4700855,0.985130865,0.9948718,0.30473624250000003,0.3101519,0.46618344,0.4728824
49,Neither,BNBD2,High,Low,1.0,0.33746005,0.5046281,1.0,1.0,0.3354633,0.3386581,0.5023923,0.5059666
50,Neither,BNBD2,Low,High,0.9074074,0.8166667,0.8596491,0.875,0.9420531799999999,0.8037500075,0.8166667,0.8448276,0.873257735
51,Neither,BNBD2,Low,Low,0.9655172,0.8888889,0.9256198,0.9368926200000001,0.9824561,0.8765873249999999,0.8888889,0.91194106,0.9333333
52,Neither,BNBD2,Medium,High,0.9843137,0.5195072,0.6791946,0.9693487,0.9883721,0.513809015,0.523614,0.6747134250000001,0.6843573175
53,Neither,BNBD2,Medium,Low,1.0,0.5363636,0.69776555,0.9962547,1.0,0.5333333,0.5373737,0.6956522,0.6990802
54,Neither,BNBD2,Very High,High,0.9977376,0.29476864999999997,0.4549689,0.993228,1.0,0.2910798,0.29830649249999996,0.4504937275,0.45898042
55,Neither,BNBD2,Very High,Low,1.0,0.3142669,0.4782391,1.0,1.0,0.3122945,0.3149244,0.4759519,0.479
56,No Diri,BNBD10,High,High,1.0,0.8281375,0.9059904,0.9971002099999999,1.0,0.8227218425,0.833733,0.902227095,0.9093287
57,No Diri,BNBD10,High,Low,1.0,0.936901,0.9674227,0.997445095,1.0,0.9353035,0.9399160925000001,0.9654519375,0.969027565
58,No Diri,BNBD10,Low,High,0.8360656,0.85,0.8429752,0.796875,0.8788339075,0.8333333,0.85,0.8225806,0.8627724225
59,No Diri,BNBD10,Low,Low,0.8633540500000001,0.952381,0.90567325,0.8333333,0.9199300499999999,0.952381,0.952381,0.8888889,0.935864835
60,No Diri,BNBD10,Medium,High,0.9745075,0.8583162,0.9136612,0.9674588875,0.9858749075000001,0.850564715,0.8644764,0.9071038,0.9185925925
61,No Diri,BNBD10,Medium,Low,1.0,0.9232323,0.960084,0.9956427,1.0,0.9191919,0.9292929,0.9578947,0.9631240675
62,No Diri,BNBD10,Very High,High,0.9945461499999999,0.8537894,0.9188604,0.9898199,0.9996481675,0.8472334075,0.860194485,0.9127348625,0.92266324
63,No Diri,BNBD10,Very High,Low,1.0,0.921762,0.9592884,1.0,1.0,0.9197896,0.9230769,0.9582192,0.96
64,No Diri,BNBD2,High,High,0.9899117,0.3117506,0.4744526,0.98542453,0.9949506575,0.3101519,0.3141487,0.4720195,0.4769417
65,No Diri,BNBD2,High,Low,1.0,0.3370607,0.5041816,1.0,1.0,0.33564300750000003,0.3386581,0.50259372,0.5059666
66,No Diri,BNBD2,Low,High,0.8305085,0.8166667,0.8235294,0.7903226,0.8596491,0.8,0.8166667,0.8032787,0.8376068
67,No Diri,BNBD2,Low,Low,0.8888889,0.8888889,0.8888889,0.8484848,0.9180328,0.8888889,0.8888889,0.8682171,0.9032258
68,No Diri,BNBD2,Medium,High,0.96038935,0.523614,0.6764706,0.9477612,0.9761268025000001,0.517915815,0.5272587075,0.6728477,0.68207873
69,No Diri,BNBD2,Medium,Low,1.0,0.5363636,0.69776555,0.9970973925000001,1.0,0.5333333,0.5373737,0.6956522,0.6990802
70,No Diri,BNBD2,Very High,High,0.9955752,0.3024816,0.46414815,0.9890030675,1.0,0.3004695,0.3044936,0.4611426,0.4665982
71,No Diri,BNBD2,Very High,Low,1.0,0.3136095,0.4774775,1.0,1.0,0.311785015,0.3149244,0.47535987749999997,0.479
72,No Diri,BNBD4,High,High,1.0,0.8289369,0.9064685,0.99709832,1.0,0.8233413,0.833733,0.9021933175,0.9093287
73,No Diri,BNBD4,High,Low,1.0,0.936901,0.9674227,1.0,1.0,0.9337061,0.9392971,0.9657166,0.9686985
74,No Diri,BNBD4,Low,High,0.8360656,0.85,0.8429752,0.8095238,0.8644068,0.85,0.85,0.8292683,0.8571429
75,No Diri,BNBD4,Low,Low,0.8695652,0.952381,0.9090909,0.8333333,0.9060379875,0.952381,0.952381,0.8888889,0.9286225674999999
76,No Diri,BNBD4,Medium,High,0.9745664,0.8583162,0.9127589,0.96625619,0.9835294,0.850564715,0.868121185,0.9075082,0.91952578
77,No Diri,BNBD4,Medium,Low,1.0,0.9232323,0.960084,0.9978166,1.0,0.9191919,0.93242421,0.9578947,0.964248715
78,No Diri,BNBD4,Very High,High,0.9945525500000001,0.8537894,0.9187136,0.99139289,0.99843535,0.8472334075,0.860194485,0.91464308,0.9236613499999999
79,No Diri,BNBD4,Very High,Low,1.0,0.921762,0.9592884,1.0,1.0,0.9200854525,0.9230769,0.9583796250000001,0.96
80,No Diri,Pitman,High,High,0.9961427,0.8257394,0.902972,0.9938897,0.9961677675,0.8187250425,0.8311550575,0.898748475,0.90621082
81,No Diri,Pitman,High,Low,1.0,0.936901,0.9674227,1.0,1.0,0.934065515,0.9405351625,0.965908705,0.96935632
82,No Diri,Pitman,Low,High,0.8928571,0.8333333,0.8632379,0.877193,0.9259259,0.8333333,0.85,0.8547009,0.8793103
83,No Diri,Pitman,Low,Low,0.8823529,0.952381,0.9160305,0.8571429,0.9457875775,0.952381,0.952381,0.9022556,0.949032775
84,No Diri,Pitman,Medium,High,0.9858156,0.8562628,0.9168486499999999,0.9747752,0.992364745,0.8501027,0.866067785,0.9094691725,0.9231098725
85,No Diri,Pitman,Medium,Low,1.0,0.9232323,0.960084,0.9956278975,1.0,0.9191919,0.93242421,0.9561085475000001,0.964248715
86,No Diri,Pitman,Very High,High,0.996115,0.85546615,0.9203827,0.9909823649999999,1.0,0.8485748075,0.8604963,0.915274125,0.9239862575000001
87,No Diri,Pitman,Very High,Low,1.0,0.921762,0.9592884,1.0,1.0,0.9197896,0.924243885,0.9582192,0.96063068
88,No Diri,uniform,High,High,1.0,0.8153477,0.8982827,0.997725065,1.0,0.809132665,0.8213828925,0.8944978674999999,0.9019331325
89,No Diri,uniform,High,Low,1.0,0.936901,0.9674227,1.0,1.0,0.9337061,0.9408946,0.9657166,0.9695473
90,No Diri,uniform,Low,High,0.3035714,0.85,0.4473684,0.2756757,0.335032875,0.85,0.85,0.4163265,0.4806238475
91,No Diri,uniform,Low,Low,0.3278689,0.952381,0.4878049,0.3003391875,0.3488372,0.952381,0.952381,0.4566656375,0.5106383
92,No Diri,uniform,Medium,High,0.9720605,0.8593428999999999,0.9116685,0.9630485,0.98083734,0.8521561,0.86971257,0.906159535,0.919756035
93,No Diri,uniform,Medium,Low,1.0,0.9232323,0.960084,0.9961296675,1.0,0.9191919,0.9292929,0.9578947,0.9633508
94,No Diri,uniform,Very High,High,1.0,0.8497653,0.9187817,0.999209055,1.0,0.8443997,0.8563212925,0.9156364,0.922600285
95,No Diri,uniform,Very High,Low,1.0,0.921762,0.9592884,1.0,1.0,0.9197896,0.9235864625,0.9582192,0.960275435
96,No Empirical,BNBD10,High,High,0.9969231,0.7709832,0.8692516,0.99174126,1.0,0.75433655,0.781594735,0.85979125,0.8770197
97,No Empirical,BNBD10,High,Low,1.0,0.93570285,0.9665704,0.997445095,1.0,0.9337061,0.9391173925,0.9654519375,0.968507205
98,No Empirical,BNBD10,Low,High,1.0,0.7833333,0.87443755,0.9791667,1.0,0.75,0.8,0.8571429,0.8888889
99,No Empirical,BNBD10,Low,Low,0.9677419,0.952381,0.96,0.9677419,0.9836066,0.952381,0.952381,0.96,0.9677419
100,No Empirical,BNBD10,Medium,High,0.9891599,0.7720739,0.86801215,0.98426127,0.997369045,0.741735115,0.812679685,0.8487177324999999,0.8914770575000001
101,No Empirical,BNBD10,Medium,Low,1.0,0.9191919,0.9578947,0.99780916,1.0,0.9191919,0.9252525,0.9569078625,0.9611752
102,No Empirical,BNBD10,Very High,High,0.99756395,0.82461435,0.90297675,0.9945344724999999,1.0,0.8177230075,0.8301642925,0.8988188324999999,0.9060836775
103,No Empirical,BNBD10,Very High,Low,1.0,0.921762,0.9592884,1.0,1.0,0.921762,0.9230769,0.9592884,0.96
104,No Empirical,BNBD2,High,High,0.992126,0.3013589,0.4622931,0.9874435075,0.9947750175,0.2919464425,0.3057953925,0.4510480375,0.46757161999999997
105,No Empirical,BNBD2,High,Low,1.0,0.3370607,0.5041816,1.0,1.0,0.336262,0.3386581,0.5032875,0.5059666
106,No Empirical,BNBD2,Low,High,1.0,0.7833333,0.8785047,0.9791667,1.0,0.75,0.8,0.8571429,0.8888889
107,No Empirical,BNBD2,Low,Low,0.9655172,0.8888889,0.9256198,0.9491525,0.9824561,0.8765873249999999,0.8888889,0.9180328,0.9333333
108,No Empirical,BNBD2,Medium,High,0.9917355,0.4948665,0.6607268500000001,0.9813221425,0.995923705,0.4887064,0.516991785,0.6542514700000001,0.6774194
109,No Empirical,BNBD2,Medium,Low,1.0,0.5373737,0.6990802,0.9962437725000001,1.0,0.5333333,0.5373737,0.6956522,0.6990802
110,No Empirical,BNBD2,Very High,High,0.99772985,0.29409795,0.45440400000000003,0.9954093875,1.0,0.2904091,0.297116,0.4496891375,0.4581179
111,No Empirical,BNBD2,Very High,Low,1.0,0.3142669,0.4782391,1.0,1.0,0.3122945,0.3149244,0.4759519,0.479
112,No Empirical,BNBD4,High,High,0.99692465,0.7729816,0.8695064,0.9917222824999999,1.0,0.750779365,0.7852318275,0.8573318475,0.8783849875
113,No Empirical,BNBD4,High,Low,1.0,0.9353035,0.9665704,1.0,1.0,0.9337061,0.9399160925000001,0.9657166,0.969027565
114,No Empirical,BNBD4,Low,High,1.0,0.7833333,0.8785047,0.9791667,1.0,0.7666667,0.8,0.861638165,0.8888889
115,No Empirical,BNBD4,Low,Low,0.9677419,0.952381,0.96,0.952381,0.9836066,0.952381,0.952381,0.952381,0.9677419
116,No Empirical,BNBD4,Medium,High,0.9892761,0.7731006,0.8681638,0.9820307325000001,0.9973737475,0.739681715,0.81632447,0.84736363,0.8943757125
117,No Empirical,BNBD4,Medium,Low,1.0,0.9191919,0.9578947,0.99561616,1.0,0.9191919,0.9292929,0.95503145,0.9631240675
118,No Empirical,BNBD4,Very High,High,0.997546,0.8229376,0.9018743,0.9951535,1.0,0.8170523075,0.8315056925,0.8986530075,0.9065621825
119,No Empirical,BNBD4,Very High,Low,1.0,0.921762,0.9592884,1.0,1.0,0.921762,0.9237344,0.9592884,0.9603554
120,No Empirical,Pitman,High,High,1.0,0.7681855,0.8683074,0.9967777,1.0,0.7418066,0.7767985574999999,0.8506835500000001,0.8743799375
121,No Empirical,Pitman,High,Low,1.0,0.936901,0.9674227,1.0,1.0,0.9337061,0.9400958,0.9657166,0.9691231
122,No Empirical,Pitman,Low,High,1.0,0.7833333,0.8785047,0.9845,1.0,0.7370833075,0.8166667,0.8486263475,0.8990826
123,No Empirical,Pitman,Low,Low,0.9836066,0.952381,0.9677419,0.9677419,1.0,0.952381,0.952381,0.96,0.9756098
124,No Empirical,Pitman,Medium,High,0.9919028000000001,0.7761807,0.87106045,0.9845007075,0.99739427,0.75154,0.81632447,0.8551402,0.89578188
125,No Empirical,Pitman,Medium,Low,1.0,0.9191919,0.9578947,0.9978214,1.0,0.9191919,0.928838355,0.9578947,0.963106315
126,No Empirical,Pitman,Very High,High,1.0,0.8182428,0.8996679999999999,0.9975337999999999,1.0,0.8122066,0.8259892849999999,0.8962350725,0.9047031975
127,No Empirical,Pitman,Very High,Low,1.0,0.921762,0.9592884,1.0,1.0,0.921762,0.9230769,0.9592884,0.96
