,model,cluster_size,num_iter,duplicates,distortion,m1,m2,m3,date
63,Both,2,10000,100,1,1.0,0.2930919,0.4533195,Wed_Mar__6_09_21_53_2024
64,Both,2,10000,100,0,1.0,0.312952,0.4767151,Wed_Mar__6_13_58_00_2024
65,Both,2,10000,1,0,1.0,0.5333333,0.6956522,Wed_Mar__6_13_35_28_2024
66,Both,2,10000,8,1,0.9946237,0.2957634,0.4559458,Wed_Mar__6_09_21_51_2024
67,Both,2,10000,1,0,1.0,0.5373737,0.6990802,Wed_Mar__6_11_56_55_2024
68,Both,2,10000,8,0,1.0,0.3370607,0.5041816,Wed_Mar__6_11_22_48_2024
69,Both,2,10000,1,0,1.0,0.5353535,0.6973684,Wed_Mar__6_11_22_42_2024
70,Both,2,10000,100,0,1.0,0.3122945,0.4759519,Wed_Mar__6_13_13_04_2024
71,Both,2,10000,1,0,1.0,0.5353535,0.6973684,Wed_Mar__6_13_13_00_2024
72,Both,2,10000,100,0,1.0,0.3142669,0.4782391,Wed_Mar__6_12_25_16_2024
73,Both,2,10000,0.1,1,1.0,0.75,0.8571429,Wed_Mar__6_09_21_47_2024
74,Both,2,10000,8,0,1.0,0.3378594,0.5050746,Wed_Mar__6_13_35_32_2024
75,Both,2,10000,1,0,1.0,0.5373737,0.6990802,Wed_Mar__6_13_57_56_2024
76,Both,2,10000,1,0,1.0,0.5373737,0.6990802,Wed_Mar__6_12_25_13_2024
77,Both,2,10000,100,0,1.0,0.3136095,0.4774775,Wed_Mar__6_13_35_32_2024
78,Both,2,10000,0.1,0,0.9655172,0.8888889,0.9256198,Wed_Mar__6_11_56_53_2024
79,Both,2,10000,8,0,1.0,0.3378594,0.5050746,Wed_Mar__6_13_57_59_2024
80,Both,2,50000,8,1,0.9892183,0.2933653,0.4525277,Tue_Mar__5_22_33_02_2024
81,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Wed_Mar__6_04_06_03_2024
82,Both,2,50000,8,1,0.9946237,0.2957634,0.4559458,Tue_Mar__5_16_58_29_2024
83,Both,2,50000,100,1,1.0,0.2924212,0.4525169,Tue_Mar__5_13_55_16_2024
84,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Tue_Mar__5_13_55_08_2024
85,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Wed_Mar__6_01_20_55_2024
86,Both,2,50000,1,1,0.9917695,0.4948665,0.660274,Tue_Mar__5_16_58_23_2024
87,Both,2,50000,8,1,0.9919786,0.2965627,0.4566154,Wed_Mar__6_01_21_00_2024
88,Both,2,50000,8,1,0.9919137,0.2941647,0.4537608,Tue_Mar__5_13_55_14_2024
89,Both,2,50000,1,1,0.9958506,0.4928131,0.6593407,Wed_Mar__6_06_41_42_2024
90,Both,2,50000,1,1,0.9917355,0.4928131,0.6584362,Wed_Mar__6_01_20_58_2024
91,Both,2,50000,100,1,1.0,0.2930919,0.4533195,Tue_Mar__5_16_58_33_2024
92,Both,2,50000,100,1,1.0,0.2937626,0.4541213,Tue_Mar__5_22_33_05_2024
93,Both,2,50000,1,1,0.9958506,0.4928131,0.6593407,Tue_Mar__5_13_55_12_2024
94,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Tue_Mar__5_19_47_54_2024
95,Both,2,50000,1,1,0.9917355,0.4928131,0.6584362,Tue_Mar__5_22_33_01_2024
96,Both,2,50000,8,1,0.9920213,0.2981615,0.4585126,Wed_Mar__6_04_06_08_2024
97,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Tue_Mar__5_16_58_23_2024
98,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Wed_Mar__6_06_41_40_2024
99,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Tue_Mar__5_22_32_58_2024
100,Both,2,50000,1,1,0.9917695,0.4948665,0.660274,Wed_Mar__6_04_06_05_2024
101,Both,2,50000,100,1,1.0,0.2944333,0.4549223,Tue_Mar__5_19_48_00_2024
102,Both,2,50000,8,1,0.9945799,0.2933653,0.4530864,Wed_Mar__6_06_41_44_2024
103,Both,2,50000,8,1,0.9919137,0.2941647,0.4537608,Tue_Mar__5_19_47_57_2024
104,Both,2,50000,100,1,0.9977064,0.2917505,0.451479,Wed_Mar__6_06_41_46_2024
105,Both,2,50000,1,1,0.9917355,0.4928131,0.6584362,Tue_Mar__5_19_47_56_2024
106,Both,2,50000,100,1,1.0,0.2924212,0.4525169,Wed_Mar__6_04_06_10_2024
107,Both,2,50000,100,1,0.9977169,0.2930919,0.4530845,Wed_Mar__6_01_21_03_2024
108,Both,2,10000,100,0,1.0,0.312952,0.4767151,Wed_Mar__6_12_55_29_2024
109,Both,2,10000,1,0,0.9962406,0.5353535,0.696452,Wed_Mar__6_11_44_11_2024
110,Both,2,10000,0.1,0,0.9655172,0.8888889,0.9256198,Wed_Mar__6_11_44_07_2024
111,Both,2,10000,8,0,1.0,0.3354633,0.5023923,Wed_Mar__6_12_05_51_2024
112,Both,2,10000,0.1,0,0.9824561,0.8888889,0.9333333,Wed_Mar__6_11_22_02_2024
113,Both,2,10000,1,0,1.0,0.5373737,0.6990802,Wed_Mar__6_12_55_21_2024
114,Both,2,10000,100,0,1.0,0.3136095,0.4774775,Wed_Mar__6_13_21_28_2024
115,Both,2,10000,8,0,1.0,0.3370607,0.5041816,Wed_Mar__6_12_55_26_2024
116,Both,2,10000,8,0,1.0,0.3354633,0.5023923,Wed_Mar__6_11_22_07_2024
117,Both,2,10000,100,0,1.0,0.3116371,0.475188,Wed_Mar__6_12_30_08_2024
118,Both,2,10000,1,0,1.0,0.5373737,0.6990802,Wed_Mar__6_13_21_23_2024
119,Both,2,10000,0.1,0,0.9655172,0.8888889,0.9256198,Wed_Mar__6_12_55_19_2024
120,Both,2,10000,8,0,1.0,0.3370607,0.5041816,Wed_Mar__6_12_30_05_2024
121,Both,2,10000,1,0,1.0,0.5393939,0.7007874,Wed_Mar__6_12_05_47_2024
