,model,prior,duplicates_level,distortion_level,precision,recall,f1score,date
634,No Diri,Pitman,Very High,Low,1.0,0.9550307,0.9769982,Mon_Feb_12_10_12_45_2024
635,No Diri,Pitman,Very High,Low,1.0,0.9538297,0.9763693,Wed_Mar__6_22_20_38_2024
636,No Diri,Pitman,Very High,Low,0.9994407,0.9538297,0.9761027,Fri_Mar__8_16_57_31_2024
637,No Diri,Pitman,Very High,Low,1.0,0.9546304,0.9767886,Wed_Mar__6_22_20_46_2024
638,No Diri,Pitman,Very High,Low,1.0,0.9538297,0.9763693,Thu_Mar_14_18_17_36_2024
639,No Diri,Pitman,Very High,Low,1.0,0.9538297,0.9763693,Fri_Mar__8_08_49_15_2024
640,No Diri,Uniform,High,High,0.9988132,0.6356495,0.7768854,Wed_Mar__6_21_54_40_2024
641,No Diri,Uniform,High,High,0.9988171,0.6377644,0.7784641,Sat_Mar__9_00_30_40_2024
642,No Diri,Uniform,High,High,0.999055,0.6388218,0.7793237,Wed_Mar__6_21_54_57_2024
643,No Diri,Uniform,High,High,0.9985762,0.6356495,0.7768137,Tue_Feb_20_14_58_21_2024
644,No Diri,Uniform,High,High,0.9988149,0.6365559,0.7775625,Fri_Mar__8_21_52_39_2024
645,No Diri,Uniform,High,High,0.9988149,0.6365559,0.7775625,Wed_Mar__6_22_24_08_2024
646,No Diri,Uniform,High,High,0.9988252,0.642145,0.7817212,Fri_Mar__8_22_42_42_2024
647,No Diri,Uniform,High,High,0.9988166,0.6374622,0.7782388,Wed_Mar__6_22_24_39_2024
648,No Diri,Uniform,High,High,0.9990521,0.636858,0.7778598,Wed_Mar_13_00_40_24_2024
649,No Diri,Uniform,High,High,0.9988166,0.6374622,0.7782388,Wed_Mar__6_22_24_39_2024
650,No Diri,Uniform,High,Low,1.0,0.9494322,0.9740603,Sat_Mar__9_00_30_25_2024
651,No Diri,Uniform,High,Low,1.0,0.949735,0.9742196,Wed_Mar__6_21_54_25_2024
652,No Diri,Uniform,High,Low,1.0,0.9486752,0.9736617,Fri_Mar__8_21_52_28_2024
653,No Diri,Uniform,High,Low,1.0,0.9488266,0.9737415,Mon_Feb_12_10_06_58_2024
654,No Diri,Uniform,High,Low,1.0,0.9498864,0.9742992,Wed_Mar__6_21_54_42_2024
655,No Diri,Uniform,High,Low,1.0,0.9495836,0.9741399,Wed_Mar__6_22_23_55_2024
656,No Diri,Uniform,High,Low,1.0,0.9501893,0.9744585,Fri_Mar__8_22_42_24_2024
657,No Diri,Uniform,High,Low,1.0,0.948978,0.9738212,Wed_Mar_13_00_39_30_2024
658,No Diri,Uniform,High,Low,1.0,0.9501893,0.9744585,Wed_Mar__6_22_24_11_2024
659,No Diri,Uniform,High,Low,1.0,0.9494322,0.9740603,Sat_Mar__9_00_30_25_2024
660,No Diri,Uniform,Low,High,0.2778702,0.7990431,0.4123457,Wed_Mar__6_21_54_33_2024
661,No Diri,Uniform,Low,High,0.2830508,0.7990431,0.4180225,Sat_Mar__9_00_30_32_2024
662,No Diri,Uniform,Low,High,0.2760331,0.7990431,0.4103194,Wed_Mar__6_21_54_49_2024
663,No Diri,Uniform,Low,High,0.2760331,0.7990431,0.4103194,Fri_Mar__8_21_52_37_2024
664,No Diri,Uniform,Low,High,0.2781457,0.8038278,0.4132841,Tue_Feb_20_14_58_17_2024
665,No Diri,Uniform,Low,High,0.2899306,0.7990431,0.4254777,Wed_Mar__6_22_24_02_2024
666,No Diri,Uniform,Low,High,0.2760331,0.7990431,0.4103194,Fri_Mar__8_22_42_30_2024
667,No Diri,Uniform,Low,High,0.2835314,0.7990431,0.4185464,Wed_Mar__6_22_24_27_2024
668,No Diri,Uniform,Low,High,0.2760331,0.7990431,0.4103194,Fri_Mar__8_22_42_30_2024
669,No Diri,Uniform,Low,High,0.2835314,0.7990431,0.4185464,Wed_Mar__6_22_24_27_2024
670,No Diri,Uniform,Low,Low,0.28125,0.9519231,0.4342105,Sat_Mar__9_00_30_19_2024
671,No Diri,Uniform,Low,Low,0.2824536,0.9519231,0.4356436,Wed_Mar__6_21_54_20_2024
672,No Diri,Uniform,Low,Low,0.2840746,0.9519231,0.4375691,Wed_Mar__6_21_54_34_2024
673,No Diri,Uniform,Low,Low,0.2832618,0.9519231,0.4366042,Fri_Mar__8_21_52_22_2024
674,No Diri,Uniform,Low,Low,0.2788732,0.9519231,0.4313725,Mon_Feb_19_22_28_23_2024
675,No Diri,Uniform,Low,Low,0.2920354,0.9519231,0.4469526,Fri_Mar__8_22_42_19_2024
676,No Diri,Uniform,Low,Low,0.2824536,0.9519231,0.4356436,Wed_Mar__6_22_23_49_2024
677,No Diri,Uniform,Low,Low,0.2857143,0.9519231,0.4395117,Wed_Mar__6_22_24_06_2024
678,No Diri,Uniform,Low,Low,0.2765363,0.9519231,0.4285714,Wed_Mar_13_00_39_15_2024
679,No Diri,Uniform,Low,Low,0.2857143,0.9519231,0.4395117,Wed_Mar__6_22_24_06_2024
680,No Diri,Uniform,Medium,High,0.9731051,0.7363552,0.838336,Wed_Mar__6_21_54_37_2024
681,No Diri,Uniform,Medium,High,0.9784748,0.7358927,0.8400211,Sat_Mar__9_00_30_36_2024
682,No Diri,Uniform,Medium,High,0.9730722,0.7354302,0.8377239,Fri_Mar__8_21_52_41_2024
683,No Diri,Uniform,Medium,High,0.9760883,0.7363552,0.8394411,Tue_Feb_20_14_58_18_2024
684,No Diri,Uniform,Medium,High,0.9754752,0.7358927,0.8389138,Wed_Mar__6_21_54_53_2024
685,No Diri,Uniform,Medium,High,0.9737965,0.7391304,0.8403892,Wed_Mar__6_22_24_04_2024
686,No Diri,Uniform,Medium,High,0.9767157,0.7372803,0.8402741,Fri_Mar__8_22_42_38_2024
687,No Diri,Uniform,Medium,High,0.9748775,0.7358927,0.8386927,Wed_Mar__6_22_24_33_2024
688,No Diri,Uniform,Medium,High,0.9748775,0.7358927,0.8386927,Wed_Mar__6_22_24_33_2024
689,No Diri,Uniform,Medium,High,0.9767157,0.7372803,0.8402741,Fri_Mar__8_22_42_38_2024
690,No Diri,Uniform,Medium,Low,0.993253,0.958159,0.9753904,Wed_Mar__6_21_54_22_2024
691,No Diri,Uniform,Medium,Low,0.9922481,0.9521153,0.9717675,Sat_Mar__9_00_30_22_2024
692,No Diri,Uniform,Medium,Low,0.9922368,0.9507206,0.9710351,Fri_Mar__8_21_52_26_2024
693,No Diri,Uniform,Medium,Low,0.9936924,0.9521153,0.9724596,Wed_Mar__6_21_54_36_2024
694,No Diri,Uniform,Medium,Low,0.9932138,0.9525802,0.9724727,Mon_Feb_12_10_06_54_2024
695,No Diri,Uniform,Medium,Low,0.9898698,0.9539749,0.9715909,Fri_Mar__8_22_42_21_2024
696,No Diri,Uniform,Medium,Low,0.9922556,0.9530451,0.9722552,Wed_Mar__6_22_23_51_2024
697,No Diri,Uniform,Medium,Low,0.9946628,0.9530451,0.9734093,Wed_Mar_13_00_39_26_2024
698,No Diri,Uniform,Medium,Low,0.9922556,0.9530451,0.9722552,Wed_Mar__6_22_24_10_2024
699,No Diri,Uniform,Medium,Low,0.9922556,0.9530451,0.9722552,Wed_Mar__6_22_24_10_2024
700,No Diri,Uniform,Very High,High,0.9993444,0.6102215,0.7577465,Sat_Mar__9_00_30_43_2024
701,No Diri,Uniform,Very High,High,0.9997813,0.6100881,0.7577691,Wed_Mar__6_21_54_44_2024
702,No Diri,Uniform,Very High,High,0.9986959,0.6131572,0.7598181,Wed_Mar__6_21_54_55_2024
703,No Diri,Uniform,Very High,High,0.9995621,0.609154,0.7569853,Fri_Mar__8_21_52_47_2024
704,No Diri,Uniform,Very High,High,0.9993474,0.6130238,0.7599041,Tue_Feb_20_14_58_25_2024
705,No Diri,Uniform,Very High,High,0.9995631,0.6106218,0.758118,Wed_Mar__6_22_24_11_2024
706,No Diri,Uniform,Very High,High,0.9995645,0.61249,0.7595565,Fri_Mar__8_22_42_46_2024
707,No Diri,Uniform,Very High,High,0.999346,0.6116894,0.7588776,Wed_Mar_13_00_40_46_2024
708,No Diri,Uniform,Very High,High,0.9993455,0.611289,0.7585693,Wed_Mar__6_22_24_45_2024
709,No Diri,Uniform,Very High,High,0.9993455,0.611289,0.7585693,Wed_Mar__6_22_24_45_2024
710,No Diri,Uniform,Very High,Low,1.0,0.9527622,0.9758098,Sat_Mar__9_00_30_28_2024
711,No Diri,Uniform,Very High,Low,1.0,0.9518281,0.9753196,Wed_Mar__6_21_54_30_2024
712,No Diri,Uniform,Very High,Low,1.0,0.9527622,0.9758098,Fri_Mar__8_21_52_29_2024
713,No Diri,Uniform,Very High,Low,1.0,0.9530291,0.9759497,Mon_Feb_12_10_06_59_2024
714,No Diri,Uniform,Very High,Low,1.0,0.9539632,0.9764393,Wed_Mar__6_21_54_40_2024
715,No Diri,Uniform,Very High,Low,1.0,0.9522284,0.9755297,Wed_Mar__6_22_23_57_2024
716,No Diri,Uniform,Very High,Low,1.0,0.9534294,0.9761596,Fri_Mar__8_22_42_30_2024
717,No Diri,Uniform,Very High,Low,1.0,0.9519616,0.9753897,Wed_Mar__6_22_24_14_2024
718,No Diri,Uniform,Very High,Low,1.0,0.9539632,0.9764393,Wed_Mar_13_00_39_58_2024
719,No Diri,Uniform,Very High,Low,1.0,0.9519616,0.9753897,Wed_Mar__6_22_24_14_2024
720,No Empiri,BNBD4,High,High,0.9965322,0.8247734,0.9025539,Fri_Mar__8_14_25_23_2024
721,No Empiri,BNBD4,High,High,0.9959781,0.8229607,0.9012407,Wed_Mar__6_22_23_23_2024
722,No Empiri,BNBD4,High,High,0.9950712,0.8234139,0.9011407,Fri_Mar__8_06_39_11_2024
723,No Empiri,BNBD4,High,High,0.9956443,0.8287009,0.9045342,Mon_Feb_19_22_37_48_2024
724,No Empiri,BNBD4,High,High,0.9965322,0.8247734,0.9025539,Wed_Mar__6_22_23_05_2024
725,No Empiri,BNBD4,High,High,0.9978046,0.8238671,0.9025319,Sun_Mar_10_04_23_04_2024
726,No Empiri,BNBD4,High,High,0.9938238,0.826435,0.902433,Fri_Mar__8_10_51_09_2024
727,No Empiri,BNBD4,High,High,0.9959685,0.820997,0.900058,Wed_Mar_13_00_52_30_2024
728,No Empiri,BNBD4,High,High,0.9967129,0.8244713,0.9024471,Fri_Mar__8_04_02_32_2024
729,No Empiri,BNBD4,High,High,0.9963669,0.8285498,0.9047423,Wed_Mar__6_22_23_09_2024
730,No Empiri,BNBD4,High,Low,1.0,0.9514005,0.975095,Wed_Mar__6_22_22_51_2024
731,No Empiri,BNBD4,High,Low,1.0,0.9510977,0.974936,Fri_Mar__8_14_25_09_2024
732,No Empiri,BNBD4,High,Low,1.0,0.9510977,0.974936,Wed_Mar__6_22_22_50_2024
733,No Empiri,BNBD4,High,Low,1.0,0.9514005,0.975095,Fri_Mar__8_06_38_56_2024
734,No Empiri,BNBD4,High,Low,1.0,0.9510977,0.974936,Mon_Feb_12_10_13_30_2024
735,No Empiri,BNBD4,High,Low,1.0,0.9506435,0.9746973,Fri_Mar__8_10_50_33_2024
736,No Empiri,BNBD4,High,Low,1.0,0.9515519,0.9751746,Wed_Mar__6_22_23_13_2024
737,No Empiri,BNBD4,High,Low,1.0,0.9514005,0.975095,Sun_Mar_10_04_22_42_2024
738,No Empiri,BNBD4,High,Low,0.9998408,0.9509463,0.9747808,Thu_Mar_14_11_41_29_2024
739,No Empiri,BNBD4,High,Low,1.0,0.9498864,0.9742992,Wed_Mar_13_00_52_16_2024
740,No Empiri,BNBD4,Low,High,0.9620253,0.7272727,0.8283379,Fri_Mar__8_14_25_16_2024
741,No Empiri,BNBD4,Low,High,0.9503106,0.7320574,0.827027,Wed_Mar__6_22_23_10_2024
742,No Empiri,BNBD4,Low,High,0.9496855,0.722488,0.8206522,Fri_Mar__8_06_39_03_2024
743,No Empiri,BNBD4,Low,High,0.95,0.7272727,0.8238482,Mon_Feb_19_22_37_38_2024
744,No Empiri,BNBD4,Low,High,0.9620253,0.7272727,0.8283379,Wed_Mar__6_22_22_55_2024
745,No Empiri,BNBD4,Low,High,0.94375,0.722488,0.8184282,Fri_Mar__8_10_50_52_2024
746,No Empiri,BNBD4,Low,High,0.9620253,0.7272727,0.8283379,Sun_Mar_10_04_22_55_2024
747,No Empiri,BNBD4,Low,High,0.9617834,0.722488,0.8251366,Wed_Mar__6_22_23_04_2024
748,No Empiri,BNBD4,Low,High,0.9617834,0.722488,0.8251366,Thu_Mar_14_11_41_37_2024
749,No Empiri,BNBD4,Low,High,0.9620253,0.7272727,0.8283379,Fri_Mar__8_04_02_25_2024
750,No Empiri,BNBD4,Low,Low,0.9851485,0.9567308,0.9707317,Wed_Mar__6_22_22_47_2024
751,No Empiri,BNBD4,Low,Low,0.9753695,0.9519231,0.9635036,Fri_Mar__8_14_25_04_2024
752,No Empiri,BNBD4,Low,Low,0.9753695,0.9519231,0.9635036,Mon_Feb_12_10_13_25_2024
753,No Empiri,BNBD4,Low,Low,0.9850746,0.9519231,0.9682152,Wed_Mar__6_22_22_44_2024
754,No Empiri,BNBD4,Low,Low,0.980198,0.9519231,0.9658537,Fri_Mar__8_06_38_48_2024
755,No Empiri,BNBD4,Low,Low,0.9753695,0.9519231,0.9635036,Wed_Mar__6_22_22_59_2024
756,No Empiri,BNBD4,Low,Low,0.9658537,0.9519231,0.9588378,Sun_Mar_10_04_22_36_2024
757,No Empiri,BNBD4,Low,Low,0.980198,0.9519231,0.9658537,Fri_Mar__8_10_50_23_2024
758,No Empiri,BNBD4,Low,Low,0.9753695,0.9519231,0.9635036,Wed_Mar_13_00_52_11_2024
759,No Empiri,BNBD4,Low,Low,0.980198,0.9519231,0.9658537,Fri_Mar__8_04_02_14_2024
760,No Empiri,BNBD4,Medium,High,0.9831776,0.7298797,0.837802,Wed_Mar__6_22_23_17_2024
761,No Empiri,BNBD4,Medium,High,0.978882,0.7289547,0.835631,Fri_Mar__8_14_25_19_2024
762,No Empiri,BNBD4,Medium,High,0.9775841,0.7261795,0.8333333,Fri_Mar__8_06_39_07_2024
763,No Empiri,BNBD4,Medium,High,0.9787765,0.7252544,0.8331562,Wed_Mar__6_22_23_02_2024
764,No Empiri,BNBD4,Medium,High,0.974423,0.7224792,0.8297477,Mon_Feb_19_22_37_43_2024
765,No Empiri,BNBD4,Medium,High,0.9793363,0.7234043,0.8321362,Sun_Mar_10_04_22_59_2024
766,No Empiri,BNBD4,Medium,High,0.9776119,0.7271045,0.8339523,Fri_Mar__8_10_51_00_2024
767,No Empiri,BNBD4,Medium,High,0.9806974,0.7284921,0.8359873,Thu_Mar_14_11_41_40_2024
