,model,cluster_size,num_iter,duplicates_level,distortion_level,precision,recall,f1score,date
937,Neither,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_10_25_18_2024
959,Neither,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_11_20_24_2024
968,Neither,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_13_07_07_2024
1010,Neither,2,10000,High,Low,1.0,0.3378594,0.5050746,Wed_Mar__6_13_11_53_2024
1017,Neither,2,10000,High,Low,1.0,0.336262,0.5032875,Wed_Mar__6_10_52_42_2024
1020,Neither,2,10000,High,Low,1.0,0.3378594,0.5050746,Wed_Mar__6_11_22_15_2024
1029,Neither,2,10000,High,Low,1.0,0.3354633,0.5023923,Wed_Mar__6_12_15_50_2024
1031,Neither,2,10000,High,Low,1.0,0.3386581,0.5059666,Wed_Mar__6_10_26_22_2024
1039,Neither,2,10000,High,Low,1.0,0.3386581,0.5059666,Wed_Mar__6_15_04_02_2024
1044,Neither,2,10000,High,Low,1.0,0.3378594,0.5050746,Wed_Mar__6_09_58_19_2024
1049,Neither,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_14_07_01_2024
1089,Neither,2,10000,High,Low,1.0,0.3378594,0.5050746,Wed_Mar__6_13_03_44_2024
1091,Neither,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_11_29_07_2024
1094,Neither,2,10000,High,Low,1.0,0.3386581,0.5059666,Wed_Mar__6_10_58_17_2024
1098,Neither,2,10000,High,Low,1.0,0.3378594,0.5050746,Wed_Mar__6_12_01_04_2024
1107,Neither,2,10000,High,Low,1.0,0.3386581,0.5059666,Wed_Mar__6_09_58_42_2024
1108,Neither,2,10000,High,Low,1.0,0.336262,0.5032875,Wed_Mar__6_10_29_00_2024
1111,Neither,2,10000,High,Low,1.0,0.3386581,0.5059666,Wed_Mar__6_13_34_44_2024
1113,Neither,2,10000,High,Low,1.0,0.3354633,0.5023923,Wed_Mar__6_14_04_46_2024
1139,Neither,2,10000,High,Low,1.0,0.3378594,0.5050746,Wed_Mar__6_12_32_09_2024
1162,Neither,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_13_00_56_2024
1173,Neither,2,10000,High,Low,1.0,0.336262,0.5032875,Wed_Mar__6_14_31_25_2024
1188,Neither,2,10000,High,Low,1.0,0.3354633,0.5023923,Wed_Mar__6_11_26_41_2024
1193,Neither,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_10_43_39_2024
1204,Neither,2,10000,High,Low,1.0,0.3378594,0.5050746,Wed_Mar__6_09_59_24_2024
1206,Neither,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_12_14_31_2024
1207,Neither,2,10000,High,Low,1.0,0.336262,0.5032875,Wed_Mar__6_15_16_54_2024
1212,Neither,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_13_45_00_2024
1265,Neither,2,10000,High,Low,1.0,0.3378594,0.5050746,Wed_Mar__6_10_43_24_2024
1286,Neither,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_13_01_22_2024
1287,Neither,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_16_06_17_2024
1300,Neither,2,10000,High,Low,1.0,0.3378594,0.5050746,Wed_Mar__6_14_33_00_2024
1302,Neither,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_12_18_04_2024
1306,Neither,2,10000,High,Low,1.0,0.3378594,0.5050746,Wed_Mar__6_13_48_51_2024
1309,Neither,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_09_59_59_2024
1311,Neither,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_15_21_06_2024
1312,Neither,2,10000,High,Low,1.0,0.3386581,0.5059666,Wed_Mar__6_11_30_20_2024
1337,Neither,2,10000,High,Low,1.0,0.3378594,0.5050746,Wed_Mar__6_13_37_07_2024
1338,Neither,2,10000,High,Low,1.0,0.3386581,0.5059666,Wed_Mar__6_12_26_01_2024
1343,Neither,2,10000,High,Low,1.0,0.3378594,0.5050746,Wed_Mar__6_10_33_57_2024
1350,Neither,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_11_43_53_2024
1368,Neither,2,10000,High,Low,1.0,0.3378594,0.5050746,Wed_Mar__6_11_10_01_2024
1371,Neither,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_13_00_36_2024
1378,Neither,2,10000,High,Low,1.0,0.3378594,0.5050746,Wed_Mar__6_14_12_34_2024
917,Neither,2,10000,Low,High,0.9074074,0.8166667,0.8596491,Wed_Mar__6_12_14_12_2024
918,Neither,2,10000,Low,High,0.8909091,0.8166667,0.8521739,Wed_Mar__6_09_58_10_2024
925,Neither,2,10000,Low,High,0.9074074,0.8166667,0.8596491,Wed_Mar__6_10_25_24_2024
934,Neither,2,10000,Low,High,0.9074074,0.8166667,0.8596491,Wed_Mar__6_10_52_32_2024
943,Neither,2,10000,Low,High,0.9074074,0.8166667,0.8596491,Wed_Mar__6_13_59_44_2024
944,Neither,2,10000,Low,High,0.8909091,0.8166667,0.8521739,Wed_Mar__6_14_56_02_2024
952,Neither,2,10000,Low,High,0.875,0.8166667,0.8448276,Wed_Mar__6_13_07_26_2024
957,Neither,2,10000,Low,High,0.875,0.8166667,0.8448276,Wed_Mar__6_11_20_36_2024
1001,Neither,2,10000,Low,High,0.875,0.8166667,0.8448276,Wed_Mar__6_13_12_15_2024
1008,Neither,2,10000,Low,High,0.8888889,0.8,0.8421053,Wed_Mar__6_15_04_14_2024
1011,Neither,2,10000,Low,High,0.9074074,0.8166667,0.8596491,Wed_Mar__6_10_26_28_2024
1014,Neither,2,10000,Low,High,0.9074074,0.8166667,0.8596491,Wed_Mar__6_12_16_06_2024
1023,Neither,2,10000,Low,High,0.9245283,0.8166667,0.8672566,Wed_Mar__6_11_22_24_2024
1027,Neither,2,10000,Low,High,0.9074074,0.8166667,0.8596491,Wed_Mar__6_09_58_28_2024
1032,Neither,2,10000,Low,High,0.9245283,0.8166667,0.8672566,Wed_Mar__6_10_52_49_2024
1035,Neither,2,10000,Low,High,0.8909091,0.8166667,0.8521739,Wed_Mar__6_14_07_22_2024
1076,Neither,2,10000,Low,High,0.875,0.8166667,0.8448276,Wed_Mar__6_10_29_02_2024
1078,Neither,2,10000,Low,High,0.9411765,0.8,0.8648649,Wed_Mar__6_13_03_50_2024
1079,Neither,2,10000,Low,High,0.9245283,0.8166667,0.8672566,Wed_Mar__6_12_32_17_2024
1086,Neither,2,10000,Low,High,0.8909091,0.8166667,0.8521739,Wed_Mar__6_11_29_09_2024
1092,Neither,2,10000,Low,High,0.9074074,0.8166667,0.8596491,Wed_Mar__6_10_58_30_2024
1105,Neither,2,10000,Low,High,0.9074074,0.8166667,0.8596491,Wed_Mar__6_13_34_50_2024
1120,Neither,2,10000,Low,High,0.9074074,0.8166667,0.8596491,Wed_Mar__6_09_58_51_2024
1121,Neither,2,10000,Low,High,0.8909091,0.8166667,0.8521739,Wed_Mar__6_14_04_59_2024
1129,Neither,2,10000,Low,High,0.875,0.8166667,0.8448276,Wed_Mar__6_12_01_11_2024
1182,Neither,2,10000,Low,High,0.9074074,0.8166667,0.8596491,Wed_Mar__6_11_26_45_2024
1187,Neither,2,10000,Low,High,0.9245283,0.8166667,0.8672566,Wed_Mar__6_12_14_37_2024
1195,Neither,2,10000,Low,High,0.9423077,0.8166667,0.875,Wed_Mar__6_13_45_11_2024
1200,Neither,2,10000,Low,High,0.9245283,0.8166667,0.8672566,Wed_Mar__6_10_43_52_2024
1203,Neither,2,10000,Low,High,0.9074074,0.8166667,0.8596491,Wed_Mar__6_13_01_12_2024
1215,Neither,2,10000,Low,High,0.9074074,0.8166667,0.8596491,Wed_Mar__6_09_59_35_2024
1219,Neither,2,10000,Low,High,0.8909091,0.8166667,0.8521739,Wed_Mar__6_15_17_07_2024
1222,Neither,2,10000,Low,High,0.9074074,0.8166667,0.8596491,Wed_Mar__6_14_31_35_2024
1247,Neither,2,10000,Low,High,0.9074074,0.8166667,0.8596491,Wed_Mar__6_15_21_18_2024
1248,Neither,2,10000,Low,High,0.8909091,0.8166667,0.8521739,Wed_Mar__6_12_18_12_2024
1255,Neither,2,10000,Low,High,0.8909091,0.8166667,0.8521739,Wed_Mar__6_14_33_12_2024
1258,Neither,2,10000,Low,High,0.9074074,0.8166667,0.8596491,Wed_Mar__6_13_01_36_2024
1269,Neither,2,10000,Low,High,0.9074074,0.8166667,0.8596491,Wed_Mar__6_10_43_37_2024
1280,Neither,2,10000,Low,High,0.9245283,0.8166667,0.8672566,Wed_Mar__6_13_49_05_2024
1281,Neither,2,10000,Low,High,0.8909091,0.8166667,0.8521739,Wed_Mar__6_11_30_40_2024
1295,Neither,2,10000,Low,High,0.9423077,0.8166667,0.875,Wed_Mar__6_10_00_10_2024
1296,Neither,2,10000,Low,High,0.8909091,0.8166667,0.8521739,Wed_Mar__6_16_06_23_2024
1332,Neither,2,10000,Low,High,0.8909091,0.8166667,0.8521739,Wed_Mar__6_10_00_23_2024
1340,Neither,2,10000,Low,High,0.8909091,0.8166667,0.8521739,Wed_Mar__6_13_00_45_2024
1364,Neither,2,10000,Low,High,0.8909091,0.8166667,0.8521739,Wed_Mar__6_11_44_01_2024
1370,Neither,2,10000,Low,High,0.9074074,0.8166667,0.8596491,Wed_Mar__6_14_12_41_2024
1384,Neither,2,10000,Low,High,0.9245283,0.8166667,0.8672566,Wed_Mar__6_14_50_42_2024
1385,Neither,2,10000,Low,High,0.8909091,0.8166667,0.8521739,Wed_Mar__6_10_34_04_2024
1390,Neither,2,10000,Low,High,0.9074074,0.8166667,0.8596491,Wed_Mar__6_12_26_11_2024
1395,Neither,2,10000,Low,High,0.8909091,0.8166667,0.8521739,Wed_Mar__6_11_10_18_2024
914,Neither,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_11_20_15_2024
928,Neither,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_10_52_19_2024
929,Neither,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_15_51_54_2024
935,Neither,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_14_55_36_2024
936,Neither,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_10_25_13_2024
945,Neither,2,10000,Low,Low,0.9649123,0.8730159,0.9166667,Wed_Mar__6_09_57_59_2024
961,Neither,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_12_13_49_2024
969,Neither,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_13_59_24_2024
971,Neither,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_13_07_00_2024
992,Neither,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_11_22_07_2024
993,Neither,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_09_58_15_2024
1016,Neither,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_12_15_42_2024
1018,Neither,2,10000,Low,Low,0.9649123,0.8730159,0.9166667,Wed_Mar__6_10_26_17_2024
1021,Neither,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_13_11_48_2024
1025,Neither,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_14_06_55_2024
1033,Neither,2,10000,Low,Low,1.0,0.8888889,0.9411765,Wed_Mar__6_15_04_00_2024
1052,Neither,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_10_52_38_2024
1072,Neither,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_14_04_42_2024
1075,Neither,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_10_58_13_2024
1116,Neither,2,10000,Low,Low,0.9491525,0.8888889,0.9180328,Wed_Mar__6_10_28_53_2024
1124,Neither,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_11_28_59_2024
1135,Neither,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_12_32_00_2024
1137,Neither,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_12_00_58_2024
1140,Neither,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_13_03_40_2024
1141,Neither,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_09_58_35_2024
1142,Neither,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_13_34_40_2024
1160,Neither,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_12_14_17_2024
1164,Neither,2,10000,Low,Low,0.9491525,0.8888889,0.9180328,Wed_Mar__6_14_31_09_2024
1171,Neither,2,10000,Low,Low,0.9491525,0.8888889,0.9180328,Wed_Mar__6_11_26_25_2024
1180,Neither,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_10_43_31_2024
1199,Neither,2,10000,Low,Low,0.9333333,0.8888889,0.9105691,Wed_Mar__6_13_44_49_2024
1209,Neither,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_15_16_38_2024
1216,Neither,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_13_00_40_2024
1223,Neither,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_09_59_14_2024
1257,Neither,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_12_17_54_2024
1259,Neither,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_16_06_04_2024
1274,Neither,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_11_30_05_2024
1282,Neither,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_10_43_15_2024
1290,Neither,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_15_20_51_2024
1293,Neither,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_13_48_41_2024
1298,Neither,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_14_32_49_2024
1301,Neither,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_09_59_52_2024
1303,Neither,2,10000,Low,Low,0.9333333,0.8888889,0.9105691,Wed_Mar__6_13_01_07_2024
1331,Neither,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_13_37_01_2024
1349,Neither,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_14_50_27_2024
1356,Neither,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_10_00_04_2024
1373,Neither,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_11_43_46_2024
1374,Neither,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_10_33_51_2024
1383,Neither,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_11_09_59_2024
1387,Neither,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_14_12_29_2024
907,Neither,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_14_55_40_2024
916,Neither,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_12_13_57_2024
926,Neither,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_10_52_21_2024
927,Neither,2,10000,Medium,Low,1.0,0.5333333,0.6956522,Wed_Mar__6_15_51_57_2024
939,Neither,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_09_58_03_2024
951,Neither,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_11_20_18_2024
954,Neither,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_10_25_15_2024
962,Neither,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_13_06_59_2024
973,Neither,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_13_59_24_2024
997,Neither,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_10_52_41_2024
1000,Neither,2,10000,Medium,Low,0.9962547,0.5373737,0.6981627,Wed_Mar__6_15_03_59_2024
1030,Neither,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_14_06_59_2024
1034,Neither,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_10_26_19_2024
1040,Neither,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_11_22_12_2024
1042,Neither,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_12_15_46_2024
1043,Neither,2,10000,Medium,Low,1.0,0.5333333,0.6956522,Wed_Mar__6_13_11_53_2024
1054,Neither,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_09_58_17_2024
1074,Neither,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_13_03_42_2024
1088,Neither,2,10000,Medium,Low,1.0,0.5333333,0.6956522,Wed_Mar__6_12_32_03_2024
1093,Neither,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_14_04_47_2024
1096,Neither,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_10_58_16_2024
1103,Neither,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_12_01_03_2024
1106,Neither,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_10_28_56_2024
1114,Neither,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_11_29_04_2024
1122,Neither,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_13_34_43_2024
1131,Neither,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_09_58_37_2024
1172,Neither,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_14_31_16_2024
1175,Neither,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_13_00_44_2024
1185,Neither,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_11_26_30_2024
1186,Neither,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_09_59_20_2024
1196,Neither,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_12_14_20_2024
1208,Neither,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_13_44_53_2024
1211,Neither,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_10_43_37_2024
1221,Neither,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_15_16_43_2024
1242,Neither,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_14_32_53_2024
1252,Neither,2,10000,Medium,Low,1.0,0.5333333,0.6956522,Wed_Mar__6_13_01_16_2024
1256,Neither,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_12_17_58_2024
1268,Neither,2,10000,Medium,Low,1.0,0.5333333,0.6956522,Wed_Mar__6_15_20_53_2024
1272,Neither,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_16_06_08_2024
1283,Neither,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_13_48_45_2024
1285,Neither,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_10_43_26_2024
1289,Neither,2,10000,Medium,Low,0.9962547,0.5373737,0.6981627,Wed_Mar__6_11_30_17_2024
1308,Neither,2,10000,Medium,Low,1.0,0.5333333,0.6956522,Wed_Mar__6_09_59_55_2024
1334,Neither,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_12_25_56_2024
1347,Neither,2,10000,Medium,Low,0.9962547,0.5373737,0.6981627,Wed_Mar__6_14_50_31_2024
1352,Neither,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_10_00_07_2024
1359,Neither,2,10000,Medium,Low,1.0,0.5333333,0.6956522,Wed_Mar__6_10_33_56_2024
1363,Neither,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_14_12_31_2024
1375,Neither,2,10000,Medium,Low,1.0,0.5373737,0.6990802,Wed_Mar__6_11_43_48_2024
1382,Neither,2,10000,Medium,Low,1.0,0.5353535,0.6973684,Wed_Mar__6_13_00_35_2024
911,Neither,2,10000,Very High,High,1.0,0.2944333,0.4549223,Wed_Mar__6_13_07_50_2024
920,Neither,2,10000,Very High,High,0.9954442,0.2930919,0.4528497,Wed_Mar__6_12_14_20_2024
941,Neither,2,10000,Very High,High,0.9977376,0.2957746,0.4562856,Wed_Mar__6_10_52_44_2024
946,Neither,2,10000,Very High,High,0.9977427,0.2964453,0.4570838,Wed_Mar__6_10_25_32_2024
947,Neither,2,10000,Very High,High,0.9954955,0.2964453,0.4568475,Wed_Mar__6_14_56_22_2024
960,Neither,2,10000,Very High,High,1.0,0.2944333,0.4549223,Wed_Mar__6_09_58_17_2024
966,Neither,2,10000,Very High,High,0.9954233,0.2917505,0.4512448,Wed_Mar__6_14_00_02_2024
972,Neither,2,10000,Very High,High,1.0,0.2930919,0.4533195,Wed_Mar__6_11_20_53_2024
1005,Neither,2,10000,Very High,High,0.9977376,0.2957746,0.4562856,Wed_Mar__6_12_16_27_2024
1013,Neither,2,10000,Very High,High,0.9933036,0.2984574,0.4589995,Wed_Mar__6_15_04_40_2024
1022,Neither,2,10000,Very High,High,1.0,0.2937626,0.4541213,Wed_Mar__6_13_12_34_2024
1026,Neither,2,10000,Very High,High,0.9977324,0.295104,0.4554865,Wed_Mar__6_09_58_39_2024
1036,Neither,2,10000,Very High,High,0.9954751,0.295104,0.4552509,Wed_Mar__6_10_26_37_2024
1037,Neither,2,10000,Very High,High,1.0,0.2957746,0.4565217,Wed_Mar__6_14_07_47_2024
1045,Neither,2,10000,Very High,High,0.9977011,0.2910798,0.450675,Wed_Mar__6_10_52_59_2024
1050,Neither,2,10000,Very High,High,0.9977477,0.297116,0.4578811,Wed_Mar__6_11_22_46_2024
1073,Neither,2,10000,Very High,High,1.0,0.2977867,0.4589147,Wed_Mar__6_10_29_15_2024
1087,Neither,2,10000,Very High,High,0.9977169,0.2930919,0.4530845,Wed_Mar__6_14_05_10_2024
1095,Neither,2,10000,Very High,High,1.0,0.2957746,0.4565217,Wed_Mar__6_10_58_42_2024
1100,Neither,2,10000,Very High,High,1.0,0.2930919,0.4533195,Wed_Mar__6_09_59_02_2024
1115,Neither,2,10000,Very High,High,1.0,0.2957746,0.4565217,Wed_Mar__6_13_35_02_2024
1118,Neither,2,10000,Very High,High,1.0,0.2944333,0.4549223,Wed_Mar__6_13_04_02_2024
1127,Neither,2,10000,Very High,High,0.9954128,0.2910798,0.4504411,Wed_Mar__6_11_29_19_2024
1133,Neither,2,10000,Very High,High,0.9977273,0.2944333,0.4546867,Wed_Mar__6_12_32_28_2024
1138,Neither,2,10000,Very High,High,0.9954442,0.2930919,0.4528497,Wed_Mar__6_12_01_19_2024
1163,Neither,2,10000,Very High,High,1.0,0.2957746,0.4565217,Wed_Mar__6_11_27_12_2024
1165,Neither,2,10000,Very High,High,0.993228,0.295104,0.4550155,Wed_Mar__6_12_14_50_2024
1183,Neither,2,10000,Very High,High,0.9931663,0.2924212,0.4518135,Wed_Mar__6_10_00_04_2024
1184,Neither,2,10000,Very High,High,0.9932584,0.2964453,0.4566116,Wed_Mar__6_14_31_53_2024
1191,Neither,2,10000,Very High,High,1.0,0.2910798,0.4509091,Wed_Mar__6_13_45_26_2024
1197,Neither,2,10000,Very High,High,0.9977376,0.2957746,0.4562856,Wed_Mar__6_10_44_07_2024
1201,Neither,2,10000,Very High,High,0.9977427,0.2964453,0.4570838,Wed_Mar__6_13_01_23_2024
1218,Neither,2,10000,Very High,High,0.9977169,0.2930919,0.4530845,Wed_Mar__6_15_17_20_2024
1243,Neither,2,10000,Very High,High,1.0,0.2937626,0.4541213,Wed_Mar__6_10_44_02_2024
1260,Neither,2,10000,Very High,High,0.9977427,0.2964453,0.4570838,Wed_Mar__6_11_30_58_2024
1264,Neither,2,10000,Very High,High,1.0,0.2964453,0.4573202,Wed_Mar__6_13_49_21_2024
1276,Neither,2,10000,Very High,High,0.9977376,0.2957746,0.4562856,Wed_Mar__6_12_18_28_2024
1277,Neither,2,10000,Very High,High,1.0,0.2904091,0.450104,Wed_Mar__6_13_01_48_2024
1278,Neither,2,10000,Very High,High,0.9977273,0.2944333,0.4546867,Wed_Mar__6_15_21_33_2024
1294,Neither,2,10000,Very High,High,0.9977273,0.2944333,0.4546867,Wed_Mar__6_10_00_23_2024
1297,Neither,2,10000,Very High,High,0.9954649,0.2944333,0.4544513,Wed_Mar__6_14_33_27_2024
1299,Neither,2,10000,Very High,High,1.0,0.295104,0.4557224,Wed_Mar__6_16_06_42_2024
1330,Neither,2,10000,Very High,High,1.0,0.2930919,0.4533195,Wed_Mar__6_13_00_55_2024
1339,Neither,2,10000,Very High,High,1.0,0.2937626,0.4541213,Wed_Mar__6_12_26_16_2024
1355,Neither,2,10000,Very High,High,0.9954853,0.2957746,0.4560496,Wed_Mar__6_14_50_52_2024
1357,Neither,2,10000,Very High,High,0.9977117,0.2924212,0.4522822,Wed_Mar__6_14_12_52_2024
1372,Neither,2,10000,Very High,High,0.9977578,0.2984574,0.4594734,Wed_Mar__6_11_44_06_2024
1377,Neither,2,10000,Very High,High,0.993228,0.295104,0.4550155,Wed_Mar__6_10_34_25_2024
1381,Neither,2,10000,Very High,High,0.9977427,0.2964453,0.4570838,Wed_Mar__6_13_37_32_2024
1386,Neither,2,10000,Very High,High,0.9977273,0.2944333,0.4546867,Wed_Mar__6_10_00_31_2024
906,Neither,2,10000,Very High,Low,1.0,0.312952,0.4767151,Wed_Mar__6_10_25_20_2024
909,Neither,2,10000,Very High,Low,1.0,0.3142669,0.4782391,Wed_Mar__6_14_55_57_2024
912,Neither,2,10000,Very High,Low,1.0,0.3149244,0.479,Wed_Mar__6_10_52_28_2024
919,Neither,2,10000,Very High,Low,1.0,0.3149244,0.479,Wed_Mar__6_13_59_38_2024
924,Neither,2,10000,Very High,Low,1.0,0.3155819,0.4797601,Wed_Mar__6_09_58_09_2024
949,Neither,2,10000,Very High,Low,1.0,0.3122945,0.4759519,Wed_Mar__6_11_20_26_2024
955,Neither,2,10000,Very High,Low,1.0,0.312952,0.4767151,Wed_Mar__6_13_07_05_2024
963,Neither,2,10000,Very High,Low,1.0,0.3122945,0.4759519,Wed_Mar__6_12_13_58_2024
970,Neither,2,10000,Very High,Low,1.0,0.3142669,0.4782391,Wed_Mar__6_15_52_07_2024
999,Neither,2,10000,Very High,Low,1.0,0.3142669,0.4782391,Wed_Mar__6_12_15_59_2024
1003,Neither,2,10000,Very High,Low,1.0,0.3136095,0.4774775,Wed_Mar__6_10_26_24_2024
1007,Neither,2,10000,Very High,Low,1.0,0.312952,0.4767151,Wed_Mar__6_15_04_10_2024
1012,Neither,2,10000,Very High,Low,1.0,0.3122945,0.4759519,Wed_Mar__6_09_58_25_2024
1015,Neither,2,10000,Very High,Low,1.0,0.3136095,0.4774775,Wed_Mar__6_10_52_47_2024
1041,Neither,2,10000,Very High,Low,1.0,0.3142669,0.4782391,Wed_Mar__6_11_22_23_2024
1046,Neither,2,10000,Very High,Low,1.0,0.3142669,0.4782391,Wed_Mar__6_13_12_09_2024
