,model,cluster_size,num_iter,duplicates_level,distortion_level,precision,recall,f1score,date
78,Both,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_11_56_53_2024
110,Both,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_11_44_07_2024
112,Both,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_11_22_02_2024
119,Both,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_12_55_19_2024
126,Both,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_13_21_20_2024
127,Both,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_12_05_43_2024
131,Both,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_12_29_58_2024
160,Both,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_11_22_22_2024
165,Both,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_12_33_36_2024
174,Both,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_12_58_26_2024
176,Both,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_13_23_58_2024
177,Both,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_11_44_17_2024
178,Both,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_12_07_49_2024
217,Both,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_11_22_50_2024
219,Both,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_12_31_41_2024
221,Both,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_12_06_56_2024
223,Both,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_12_56_13_2024
224,Both,2,10000,Low,Low,1.0,0.8888889,0.9411765,Wed_Mar__6_11_45_05_2024
225,Both,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_13_22_22_2024
265,Both,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_11_45_42_2024
268,Both,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_13_45_19_2024
273,Both,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_11_23_01_2024
279,Both,2,10000,Low,Low,0.9824561,0.8888889,0.9333333,Wed_Mar__6_12_33_46_2024
283,Both,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_12_08_50_2024
284,Both,2,10000,Low,Low,0.9655172,0.8888889,0.9256198,Wed_Mar__6_13_00_20_2024
