,model,prior,duplicates_level,distortion_level,replicates,precision,recall,f1score,date,num_iter
949,No Diri,Pitman,Low,High,49,0.9259259,0.8333333,0.877193,Wed_Feb_28_19_54_07_2024,
950,No Diri,Pitman,Very High,Low,49,1.0,0.921762,0.9592884,Wed_Feb_28_19_54_04_2024,
951,No Diri,Pitman,Medium,High,49,0.985782,0.8542094,0.9152915,Wed_Feb_28_19_54_07_2024,
952,No Diri,Pitman,Low,High,50,0.877193,0.8333333,0.8547009,Wed_Feb_28_19_54_47_2024,
953,No Diri,Pitman,Very High,Low,50,1.0,0.921762,0.9592884,Wed_Feb_28_19_54_41_2024,
954,No Diri,Pitman,Medium,Low,50,1.0,0.9232323,0.960084,Wed_Feb_28_19_54_35_2024,
955,No Diri,Pitman,Low,Low,50,0.9090909,0.952381,0.9302326,Wed_Feb_28_19_54_31_2024,
956,No Diri,Pitman,High,Low,50,1.0,0.9384984,0.9682736,Wed_Feb_28_19_54_36_2024,
957,No Diri,Pitman,Medium,High,50,0.9742991,0.8562628,0.9114754,Wed_Feb_28_19_54_51_2024,
958,No Diri,Pitman,Very High,High,50,0.9968677,0.8537894,0.9197977,Wed_Feb_28_19_54_58_2024,
959,No Diri,Pitman,High,High,50,0.9961464,0.8265388,0.9034513,Wed_Feb_28_23_17_13_2024,
960,No Diri,uniform,Medium,High,21,0.9766355,0.8583162,0.9136612,Tue_Feb__6_20_14_25_2024,
961,No Diri,uniform,High,Low,21,1.0,0.9384984,0.9682736,Tue_Feb__6_20_14_12_2024,
962,No Diri,uniform,Very High,Low,21,1.0,0.9237344,0.9603554,Tue_Feb__6_20_14_14_2024,
963,No Diri,uniform,Medium,Low,21,1.0,0.9191919,0.9578947,Tue_Feb__6_20_14_08_2024,
964,No Diri,uniform,High,High,21,1.0,0.8193445,0.900703,Fri_Feb__9_08_54_22_2024,
965,No Diri,uniform,Very High,High,21,1.0,0.8497653,0.9187817,Tue_Feb__6_20_14_31_2024,
966,No Diri,uniform,Low,High,21,0.2756757,0.85,0.4163265,Tue_Feb__6_20_14_17_2024,
967,No Diri,uniform,Low,Low,21,0.3015075,0.952381,0.4580153,Tue_Feb__6_20_14_05_2024,
968,No Diri,uniform,Low,Low,22,0.3157895,0.952381,0.4743083,Tue_Feb__6_20_23_16_2024,
969,No Diri,uniform,Medium,Low,22,0.9978308,0.9292929,0.9623431,Tue_Feb__6_20_23_19_2024,
970,No Diri,uniform,Low,High,22,0.3,0.85,0.4434783,Tue_Feb__6_20_23_33_2024,
971,No Diri,uniform,Very High,Low,22,1.0,0.9197896,0.9582192,Tue_Feb__6_20_23_27_2024,
972,No Diri,uniform,Medium,High,22,0.9722222,0.862423,0.914037,Tue_Feb__6_20_23_35_2024,
973,No Diri,uniform,Very High,High,22,1.0,0.8430584,0.9148472,Tue_Feb__6_20_23_33_2024,
974,No Diri,uniform,High,Low,22,1.0,0.936901,0.9674227,Tue_Feb__6_20_23_23_2024,
975,No Diri,uniform,High,High,22,1.0,0.8161471,0.8987676,Thu_Feb_29_00_33_59_2024,
976,No Diri,uniform,Very High,High,23,1.0,0.8511066,0.9195652,Tue_Feb__6_21_32_44_2024,
977,No Diri,uniform,Very High,Low,23,1.0,0.921762,0.9592884,Tue_Feb__6_21_32_28_2024,
978,No Diri,uniform,High,High,23,1.0,0.8105516,0.8953642,Thu_Feb_29_09_33_52_2024,
979,No Diri,uniform,Medium,High,23,0.974478,0.862423,0.9150327,Tue_Feb__6_21_32_38_2024,
980,No Diri,uniform,Medium,Low,23,1.0,0.9232323,0.960084,Tue_Feb__6_21_32_20_2024,
981,No Diri,uniform,Low,High,23,0.3035714,0.85,0.4473684,Tue_Feb__6_21_32_34_2024,
982,No Diri,uniform,High,Low,23,1.0,0.9384984,0.9682736,Tue_Feb__6_21_32_24_2024,
983,No Diri,uniform,Low,Low,23,0.3351955,0.952381,0.4958678,Tue_Feb__6_21_32_18_2024,
984,No Diri,uniform,Very High,Low,24,1.0,0.921762,0.9592884,Tue_Feb__6_21_45_06_2024,
985,No Diri,uniform,Very High,High,24,0.9992126,0.8511066,0.9192322,Tue_Feb__6_21_45_21_2024,
986,No Diri,uniform,Low,High,24,0.3,0.85,0.4434783,Tue_Feb__6_21_45_12_2024,
987,No Diri,uniform,Low,Low,24,0.3389831,0.952381,0.5,Tue_Feb__6_21_44_59_2024,
988,No Diri,uniform,High,Low,24,1.0,0.936901,0.9674227,Tue_Feb__6_21_45_04_2024,
989,No Diri,uniform,High,High,24,0.9970646,0.8145484,0.8966124,Wed_Feb_28_21_44_12_2024,
990,No Diri,uniform,Medium,Low,24,1.0,0.9232323,0.960084,Tue_Feb__6_21_45_01_2024,
991,No Diri,uniform,Medium,High,24,0.9722222,0.862423,0.914037,Tue_Feb__6_21_45_15_2024,
992,No Diri,uniform,High,Low,25,1.0,0.9384984,0.9682736,Wed_Feb_28_10_40_26_2024,
993,No Diri,uniform,Medium,High,25,0.965358,0.8583162,0.9086957,Wed_Feb_28_10_40_35_2024,
994,No Diri,uniform,Very High,High,25,1.0,0.8497653,0.9187817,Wed_Feb_28_10_40_48_2024,
995,No Diri,uniform,High,High,25,0.9970617,0.813749,0.8961268,Wed_Feb_28_11_37_53_2024,
996,No Diri,uniform,Low,High,25,0.3072289,0.85,0.4513274,Wed_Feb_28_10_40_30_2024,
997,No Diri,uniform,Medium,Low,25,1.0,0.9191919,0.9578947,Wed_Feb_28_10_40_20_2024,
998,No Diri,uniform,Very High,Low,25,1.0,0.921762,0.9592884,Wed_Feb_28_10_40_32_2024,
999,No Diri,uniform,Low,Low,25,0.3174603,0.952381,0.4761905,Wed_Feb_28_10_40_17_2024,
1000,No Diri,uniform,Medium,High,26,0.9698376,0.8583162,0.9106754,Wed_Feb_28_10_41_18_2024,
1001,No Diri,uniform,Medium,Low,26,1.0,0.9232323,0.960084,Wed_Feb_28_10_40_58_2024,
1002,No Diri,uniform,Very High,High,26,1.0,0.8477532,0.9176044,Wed_Feb_28_10_41_30_2024,
1003,No Diri,uniform,High,Low,26,1.0,0.9353035,0.9665704,Wed_Feb_28_10_41_01_2024,
1004,No Diri,uniform,Low,High,26,0.3017751,0.85,0.4454148,Wed_Feb_28_10_41_14_2024,
1005,No Diri,uniform,High,High,26,1.0,0.8161471,0.8987676,Wed_Feb_28_11_38_44_2024,
1006,No Diri,uniform,Low,Low,26,0.3174603,0.952381,0.4761905,Wed_Feb_28_10_40_53_2024,
1007,No Diri,uniform,Very High,Low,26,1.0,0.9197896,0.9582192,Wed_Feb_28_10_41_07_2024,
1008,No Diri,uniform,High,High,27,1.0,0.8177458,0.8997361,Wed_Feb_28_11_39_20_2024,
1009,No Diri,uniform,Very High,High,27,1.0,0.8517773,0.9199565,Wed_Feb_28_10_41_47_2024,
1010,No Diri,uniform,High,Low,27,1.0,0.936901,0.9674227,Wed_Feb_28_10_41_23_2024,
1011,No Diri,uniform,Medium,Low,27,1.0,0.9272727,0.9622642,Wed_Feb_28_10_41_21_2024,
1012,No Diri,uniform,Low,Low,27,0.3314917,0.952381,0.4918033,Wed_Feb_28_10_41_18_2024,
1013,No Diri,uniform,Low,High,27,0.2931034,0.85,0.4358974,Wed_Feb_28_10_41_35_2024,
1014,No Diri,uniform,Medium,High,27,0.9721578,0.8603696,0.912854,Wed_Feb_28_10_41_39_2024,
1015,No Diri,uniform,Very High,Low,27,1.0,0.921762,0.9592884,Wed_Feb_28_10_41_31_2024,
1016,No Diri,uniform,High,High,28,1.0,0.8129496,0.8968254,Wed_Feb_28_11_40_05_2024,
1017,No Diri,uniform,Very High,Low,28,1.0,0.921762,0.9592884,Wed_Feb_28_10_42_16_2024,
1018,No Diri,uniform,Low,High,28,0.3017751,0.85,0.4454148,Wed_Feb_28_10_42_22_2024,
1019,No Diri,uniform,Medium,High,28,0.9696262,0.8521561,0.9071038,Wed_Feb_28_10_42_25_2024,
1020,No Diri,uniform,High,Low,28,1.0,0.936901,0.9674227,Wed_Feb_28_10_42_16_2024,
1021,No Diri,uniform,Very High,High,28,1.0,0.8517773,0.9199565,Wed_Feb_28_10_42_32_2024,
1022,No Diri,uniform,Medium,Low,28,1.0,0.9232323,0.960084,Wed_Feb_28_10_42_11_2024,
1023,No Diri,uniform,Low,Low,28,0.3125,0.952381,0.4705882,Wed_Feb_28_10_42_08_2024,
1024,No Diri,uniform,Very High,High,29,1.0,0.8470825,0.9172113,Wed_Feb_28_13_26_20_2024,
1025,No Diri,uniform,High,Low,29,1.0,0.936901,0.9674227,Wed_Feb_28_13_25_53_2024,
1026,No Diri,uniform,Medium,High,29,0.9767981,0.8644764,0.9172113,Wed_Feb_28_13_26_19_2024,
1027,No Diri,uniform,Low,Low,29,0.3278689,0.952381,0.4878049,Wed_Feb_28_13_25_45_2024,
1028,No Diri,uniform,Low,High,29,0.3090909,0.85,0.4533333,Wed_Feb_28_13_26_01_2024,
1029,No Diri,uniform,Very High,Low,29,1.0,0.921762,0.9592884,Wed_Feb_28_13_26_06_2024,
1030,No Diri,uniform,Medium,Low,29,1.0,0.9232323,0.960084,Wed_Feb_28_13_25_48_2024,
1031,No Diri,uniform,High,High,29,1.0,0.8089528,0.894388,Wed_Feb_28_12_27_33_2024,
1032,No Diri,uniform,Low,Low,30,0.3428571,0.952381,0.5042017,Wed_Feb_28_13_26_10_2024,
1033,No Diri,uniform,Medium,Low,30,0.997807,0.9191919,0.9568875,Wed_Feb_28_13_26_15_2024,
1034,No Diri,uniform,High,High,30,1.0,0.8169464,0.8992521,Wed_Feb_28_12_28_05_2024,
1035,No Diri,uniform,Very High,Low,30,1.0,0.921762,0.9592884,Wed_Feb_28_13_26_24_2024,
1036,No Diri,uniform,Very High,High,30,1.0,0.8544601,0.921519,Wed_Feb_28_13_26_39_2024,
1037,No Diri,uniform,Medium,High,30,0.9813084,0.862423,0.9180328,Wed_Feb_28_13_26_39_2024,
1038,No Diri,uniform,Low,High,30,0.281768,0.85,0.4232365,Wed_Feb_28_13_26_28_2024,
1039,No Diri,uniform,High,Low,30,1.0,0.9353035,0.9665704,Wed_Feb_28_13_26_18_2024,
1040,No Diri,uniform,Medium,Low,31,1.0,0.9252525,0.9611752,Wed_Feb_28_13_26_36_2024,
1041,No Diri,uniform,High,High,31,1.0,0.8153477,0.8982827,Wed_Feb_28_12_28_25_2024,
1042,No Diri,uniform,Low,High,31,0.2947977,0.85,0.4377682,Wed_Feb_28_13_26_51_2024,
1043,No Diri,uniform,Very High,Low,31,1.0,0.921762,0.9592884,Wed_Feb_28_13_26_46_2024,
1044,No Diri,uniform,Very High,High,31,1.0,0.8558015,0.9222985,Wed_Feb_28_13_27_03_2024,
1045,No Diri,uniform,Medium,High,31,0.9630485,0.8562628,0.9065217,Wed_Feb_28_13_26_55_2024,
1046,No Diri,uniform,High,Low,31,1.0,0.936901,0.9674227,Wed_Feb_28_13_26_38_2024,
1047,No Diri,uniform,Low,Low,31,0.3389831,0.952381,0.5,Wed_Feb_28_13_26_32_2024,
1048,No Diri,uniform,Medium,Low,32,1.0,0.9232323,0.960084,Wed_Feb_28_13_27_05_2024,
1049,No Diri,uniform,Very High,High,32,1.0,0.8443997,0.9156364,Wed_Feb_28_13_27_28_2024,
1050,No Diri,uniform,High,High,32,1.0,0.8105516,0.8953642,Wed_Feb_28_12_29_01_2024,
1051,No Diri,uniform,Very High,Low,32,1.0,0.921762,0.9592884,Wed_Feb_28_13_27_13_2024,
1052,No Diri,uniform,High,Low,32,1.0,0.9353035,0.9665704,Wed_Feb_28_13_27_08_2024,
1053,No Diri,uniform,Medium,High,32,0.9790698,0.8644764,0.9182116,Wed_Feb_28_13_27_21_2024,
1054,No Diri,uniform,Low,Low,32,0.3157895,0.952381,0.4743083,Wed_Feb_28_13_27_02_2024,
1055,No Diri,uniform,Low,High,32,0.3128834,0.85,0.4573991,Wed_Feb_28_13_27_13_2024,
1056,No Diri,uniform,Low,Low,33,0.2955665,0.952381,0.4511278,Wed_Feb_28_14_43_41_2024,
1057,No Diri,uniform,High,High,33,1.0,0.8169464,0.8992521,Wed_Feb_28_22_55_51_2024,
1058,No Diri,uniform,Medium,Low,33,0.9956427,0.9232323,0.9580713,Wed_Feb_28_14_43_51_2024,
1059,No Diri,uniform,Very High,Low,33,1.0,0.921762,0.9592884,Wed_Feb_28_14_43_53_2024,
1060,No Diri,uniform,Low,High,33,0.3072289,0.85,0.4513274,Wed_Feb_28_14_44_03_2024,
1061,No Diri,uniform,High,Low,33,1.0,0.9337061,0.9657166,Wed_Feb_28_14_43_51_2024,
1062,No Diri,uniform,Very High,High,33,1.0,0.8564722,0.9226879,Wed_Feb_28_14_44_21_2024,
1063,No Diri,uniform,Medium,High,33,0.974537,0.8644764,0.9162133,Wed_Feb_28_14_44_06_2024,
1064,No Diri,uniform,Low,High,34,0.3128834,0.85,0.4573991,Wed_Feb_28_14_44_45_2024,
1065,No Diri,uniform,Low,Low,34,0.3225806,0.952381,0.4819277,Wed_Feb_28_14_44_26_2024,
1066,No Diri,uniform,High,Low,34,1.0,0.9408946,0.9695473,Wed_Feb_28_14_44_35_2024,
1067,No Diri,uniform,Medium,High,34,0.9721578,0.8603696,0.912854,Wed_Feb_28_14_44_51_2024,
1068,No Diri,uniform,Very High,Low,34,1.0,0.921762,0.9592884,Wed_Feb_28_14_44_39_2024,
1069,No Diri,uniform,High,High,34,1.0,0.8121503,0.8963388,Thu_Feb_29_00_34_31_2024,
1070,No Diri,uniform,Very High,High,34,1.0,0.8504359,0.9191736,Wed_Feb_28_14_44_57_2024,
1071,No Diri,uniform,Medium,Low,34,1.0,0.9292929,0.9633508,Wed_Feb_28_14_44_32_2024,
1072,No Diri,uniform,High,High,35,1.0,0.8177458,0.8997361,Thu_Feb_29_09_33_34_2024,
1073,No Diri,uniform,Very High,High,35,1.0,0.8497653,0.9187817,Wed_Feb_28_14_45_29_2024,
1074,No Diri,uniform,Very High,Low,35,1.0,0.9197896,0.9582192,Wed_Feb_28_14_45_15_2024,
1075,No Diri,uniform,Medium,Low,35,1.0,0.9252525,0.9611752,Wed_Feb_28_14_45_05_2024,
1076,No Diri,uniform,Low,High,35,0.3090909,0.85,0.4533333,Wed_Feb_28_14_45_15_2024,
1077,No Diri,uniform,Low,Low,35,0.3157895,0.952381,0.4743083,Wed_Feb_28_14_45_02_2024,
1078,No Diri,uniform,High,Low,35,1.0,0.936901,0.9674227,Wed_Feb_28_14_45_09_2024,
1079,No Diri,uniform,Medium,High,35,0.97669,0.8603696,0.9148472,Wed_Feb_28_14_45_21_2024,
1080,No Diri,uniform,Very High,Low,36,1.0,0.921762,0.9592884,Wed_Feb_28_14_46_11_2024,
1081,No Diri,uniform,Very High,High,36,1.0,0.8484239,0.9179971,Wed_Feb_28_14_46_26_2024,
1082,No Diri,uniform,Low,High,36,0.2914286,0.85,0.4340426,Wed_Feb_28_14_46_07_2024,
1083,No Diri,uniform,High,Low,36,1.0,0.9408946,0.9695473,Wed_Feb_28_14_46_06_2024,
1084,No Diri,uniform,Medium,Low,36,1.0,0.9232323,0.960084,Wed_Feb_28_14_46_01_2024,
1085,No Diri,uniform,Low,Low,36,0.3278689,0.952381,0.4878049,Wed_Feb_28_14_45_57_2024,
1086,No Diri,uniform,Medium,High,36,0.9676674,0.8603696,0.9108696,Wed_Feb_28_14_46_20_2024,
1087,No Diri,uniform,High,High,36,1.0,0.8185452,0.9002198,Thu_Feb_29_00_34_45_2024,
1088,No Diri,uniform,Medium,Low,37,1.0,0.9232323,0.960084,Wed_Feb_28_15_48_57_2024,
1089,No Diri,uniform,High,High,37,1.0,0.8105516,0.8953642,Wed_Feb_28_23_42_05_2024,
1090,No Diri,uniform,Very High,Low,37,1.0,0.921762,0.9592884,Wed_Feb_28_15_49_09_2024,
1091,No Diri,uniform,Low,Low,37,0.3278689,0.952381,0.4878049,Wed_Feb_28_15_48_54_2024,
1092,No Diri,uniform,Medium,High,37,0.9677419,0.862423,0.9120521,Wed_Feb_28_15_49_17_2024,
1093,No Diri,uniform,Low,High,37,0.2756757,0.85,0.4163265,Wed_Feb_28_15_49_15_2024,
1094,No Diri,uniform,Very High,High,37,1.0,0.8490946,0.9183896,Wed_Feb_28_15_49_30_2024,
1095,No Diri,uniform,High,Low,37,1.0,0.9353035,0.9665704,Wed_Feb_28_15_49_04_2024,
1096,No Diri,uniform,Very High,High,38,0.9992082,0.8464118,0.9164851,Wed_Feb_28_15_49_27_2024,
1097,No Diri,uniform,Medium,Low,38,1.0,0.9232323,0.960084,Wed_Feb_28_15_49_05_2024,
1098,No Diri,uniform,High,High,38,1.0,0.8097522,0.8948763,Thu_Feb_29_09_33_43_2024,
1099,No Diri,uniform,Low,High,38,0.2965116,0.85,0.4396552,Wed_Feb_28_15_49_15_2024,
1100,No Diri,uniform,Medium,High,38,0.967366,0.8521561,0.9061135,Wed_Feb_28_15_49_20_2024,
1101,No Diri,uniform,High,Low,38,1.0,0.9337061,0.9657166,Wed_Feb_28_15_49_06_2024,
1102,No Diri,uniform,Very High,Low,38,1.0,0.921762,0.9592884,Wed_Feb_28_15_49_10_2024,
1103,No Diri,uniform,Low,Low,38,0.3488372,0.952381,0.5106383,Wed_Feb_28_15_48_58_2024,
1104,No Diri,uniform,High,Low,39,1.0,0.9392971,0.9686985,Wed_Feb_28_15_49_05_2024,
1105,No Diri,uniform,High,High,39,1.0,0.8153477,0.8982827,Thu_Feb_29_10_16_42_2024,
1106,No Diri,uniform,Low,High,39,0.3207547,0.85,0.4657534,Wed_Feb_28_15_49_11_2024,
1107,No Diri,uniform,Very High,High,39,1.0,0.8464118,0.916818,Wed_Feb_28_15_49_27_2024,
1108,No Diri,uniform,Medium,High,39,0.9741784,0.8521561,0.9090909,Wed_Feb_28_15_49_20_2024,
1109,No Diri,uniform,Low,Low,39,0.3191489,0.952381,0.4780876,Wed_Feb_28_15_49_00_2024,
1110,No Diri,uniform,Medium,Low,39,0.9956427,0.9232323,0.9580713,Wed_Feb_28_15_49_02_2024,
1111,No Diri,uniform,Very High,Low,39,1.0,0.9211045,0.9589322,Wed_Feb_28_15_49_10_2024,
1112,No Diri,uniform,Very High,High,40,1.0,0.8477532,0.9176044,Wed_Feb_28_15_49_40_2024,
1113,No Diri,uniform,Low,High,40,0.2982456,0.85,0.4415584,Wed_Feb_28_15_49_31_2024,
1114,No Diri,uniform,Medium,High,40,0.9652778,0.8562628,0.9075082,Wed_Feb_28_15_49_36_2024,
1115,No Diri,uniform,High,High,40,1.0,0.8169464,0.8992521,Thu_Feb_29_09_33_24_2024,
1116,No Diri,uniform,Low,Low,40,0.3045685,0.952381,0.4615385,Wed_Feb_28_15_49_17_2024,
1117,No Diri,uniform,Very High,Low,40,1.0,0.9197896,0.9582192,Wed_Feb_28_15_49_27_2024,
1118,No Diri,uniform,High,Low,40,1.0,0.9408946,0.9695473,Wed_Feb_28_15_49_22_2024,
1119,No Diri,uniform,Medium,Low,40,1.0,0.9232323,0.960084,Wed_Feb_28_15_49_21_2024,
1120,No Diri,uniform,Medium,High,41,0.974478,0.862423,0.9150327,Wed_Feb_28_18_10_32_2024,
1121,No Diri,uniform,Low,High,41,0.2982456,0.85,0.4415584,Wed_Feb_28_18_10_31_2024,
1122,No Diri,uniform,High,High,41,1.0,0.8129496,0.8968254,Thu_Feb_29_10_16_14_2024,
1123,No Diri,uniform,Very High,Low,41,1.0,0.921762,0.9592884,Wed_Feb_28_18_10_25_2024,
1124,No Diri,uniform,Low,Low,41,0.3314917,0.952381,0.4918033,Wed_Feb_28_18_10_06_2024,
1125,No Diri,uniform,Very High,High,41,1.0,0.8484239,0.9179971,Wed_Feb_28_18_10_45_2024,
1126,No Diri,uniform,Medium,Low,41,1.0,0.9232323,0.960084,Wed_Feb_28_18_10_11_2024,
1127,No Diri,uniform,High,Low,41,1.0,0.9353035,0.9665704,Wed_Feb_28_18_10_18_2024,
1128,No Diri,uniform,Low,Low,42,0.3296703,0.952381,0.4897959,Wed_Feb_28_18_10_18_2024,
1129,No Diri,uniform,Low,High,42,0.3035714,0.85,0.4473684,Wed_Feb_28_18_10_35_2024,
1130,No Diri,uniform,Very High,High,42,1.0,0.8484239,0.9179971,Wed_Feb_28_18_10_58_2024,
1131,No Diri,uniform,Medium,Low,42,1.0,0.9232323,0.960084,Wed_Feb_28_18_10_21_2024,
1132,No Diri,uniform,High,High,42,1.0,0.8169464,0.8992521,Thu_Feb_29_10_16_27_2024,
1133,No Diri,uniform,Very High,Low,42,1.0,0.921762,0.9592884,Wed_Feb_28_18_10_30_2024,
1134,No Diri,uniform,High,Low,42,1.0,0.936901,0.9674227,Wed_Feb_28_18_10_26_2024,
1135,No Diri,uniform,Medium,High,42,0.9721578,0.8603696,0.912854,Wed_Feb_28_18_10_46_2024,
1136,No Diri,uniform,High,Low,43,1.0,0.9384984,0.9682736,Wed_Feb_28_18_10_52_2024,
1137,No Diri,uniform,Low,High,43,0.3128834,0.85,0.4573991,Wed_Feb_28_18_11_01_2024,
1138,No Diri,uniform,High,High,43,1.0,0.8169464,0.8992521,Thu_Feb_29_00_34_22_2024,
1139,No Diri,uniform,Medium,High,43,0.9630485,0.8562628,0.9065217,Wed_Feb_28_18_11_02_2024,
1140,No Diri,uniform,Very High,High,43,1.0,0.8531187,0.9207383,Wed_Feb_28_18_11_10_2024,
1141,No Diri,uniform,Low,Low,43,0.3108808,0.952381,0.46875,Wed_Feb_28_18_10_41_2024,
1142,No Diri,uniform,Very High,Low,43,1.0,0.921762,0.9592884,Wed_Feb_28_18_10_53_2024,
1143,No Diri,uniform,Medium,Low,43,1.0,0.9252525,0.9611752,Wed_Feb_28_18_10_46_2024,
1144,No Diri,uniform,Very High,Low,44,1.0,0.921762,0.9592884,Wed_Feb_28_18_10_42_2024,
1145,No Diri,uniform,Medium,Low,44,1.0,0.9232323,0.960084,Wed_Feb_28_18_10_34_2024,
1146,No Diri,uniform,Medium,High,44,0.974537,0.8644764,0.9162133,Wed_Feb_28_18_10_53_2024,
1147,No Diri,uniform,High,Low,44,1.0,0.9376997,0.9678483,Wed_Feb_28_18_10_37_2024,
1148,No Diri,uniform,Very High,High,44,1.0,0.8531187,0.9207383,Wed_Feb_28_18_11_03_2024,
1149,No Diri,uniform,High,High,44,1.0,0.8193445,0.900703,Thu_Feb_29_10_16_55_2024,
1150,No Diri,uniform,Low,Low,44,0.3225806,0.952381,0.4819277,Wed_Feb_28_18_10_30_2024,
1151,No Diri,uniform,Low,High,44,0.2881356,0.85,0.4303797,Wed_Feb_28_18_10_45_2024,
1152,No Diri,uniform,High,High,45,1.0,0.8097522,0.8948763,Wed_Feb_28_23_42_34_2024,
1153,No Diri,uniform,Low,Low,45,0.3015075,0.952381,0.4580153,Wed_Feb_28_19_04_06_2024,
1154,No Diri,uniform,Medium,High,45,0.9631336,0.8583162,0.907709,Wed_Feb_28_19_04_27_2024,
1155,No Diri,uniform,Very High,Low,45,1.0,0.9197896,0.9582192,Wed_Feb_28_19_04_20_2024,
1156,No Diri,uniform,Very High,High,45,1.0,0.8450704,0.9160305,Wed_Feb_28_19_04_34_2024,
1157,No Diri,uniform,High,Low,45,1.0,0.936901,0.9674227,Wed_Feb_28_19_04_14_2024,
1158,No Diri,uniform,Low,High,45,0.3445946,0.85,0.4903846,Wed_Feb_28_19_04_22_2024,
1159,No Diri,uniform,Medium,Low,45,1.0,0.9232323,0.960084,Wed_Feb_28_19_04_09_2024,
1160,No Diri,uniform,Very High,Low,46,1.0,0.9197896,0.9582192,Wed_Feb_28_18_57_11_2024,
1161,No Diri,uniform,Very High,High,46,0.9992181,0.8571429,0.9227437,Wed_Feb_28_18_57_46_2024,
1162,No Diri,uniform,Low,Low,46,0.3389831,0.952381,0.5,Wed_Feb_28_18_57_01_2024,
1163,No Diri,uniform,Medium,Low,46,1.0,0.9232323,0.960084,Wed_Feb_28_18_57_05_2024,
1164,No Diri,uniform,Medium,High,46,0.9651972,0.8542094,0.9063181,Wed_Feb_28_18_57_34_2024,
1165,No Diri,uniform,Low,High,46,0.3333333,0.85,0.4788732,Wed_Feb_28_18_57_27_2024,
1166,No Diri,uniform,High,Low,46,1.0,0.9337061,0.9657166,Wed_Feb_28_18_57_07_2024,
1167,No Diri,uniform,High,High,46,1.0,0.8169464,0.8992521,Wed_Feb_28_21_44_50_2024,
1168,No Diri,uniform,Low,High,47,0.3053892,0.85,0.4493392,Wed_Feb_28_18_56_27_2024,
1169,No Diri,uniform,High,Low,47,1.0,0.936901,0.9674227,Wed_Feb_28_18_56_22_2024,
1170,No Diri,uniform,Medium,High,47,0.974537,0.8644764,0.9162133,Wed_Feb_28_18_56_38_2024,
1171,No Diri,uniform,Medium,Low,47,1.0,0.9232323,0.960084,Wed_Feb_28_18_56_18_2024,
1172,No Diri,uniform,High,High,47,1.0,0.8097522,0.8948763,Wed_Feb_28_22_56_22_2024,
1173,No Diri,uniform,Low,Low,47,0.3333333,0.952381,0.4938272,Wed_Feb_28_18_56_14_2024,
1174,No Diri,uniform,Very High,Low,47,1.0,0.9211045,0.9589322,Wed_Feb_28_18_56_26_2024,
1175,No Diri,uniform,Very High,High,47,1.0,0.8551308,0.9219089,Wed_Feb_28_18_56_45_2024,
1176,No Diri,uniform,Medium,High,48,0.981352,0.8644764,0.919214,Wed_Feb_28_18_57_00_2024,
1177,No Diri,uniform,High,High,48,1.0,0.8217426,0.9021501,Wed_Feb_28_21_45_50_2024,
1178,No Diri,uniform,Very High,High,48,1.0,0.8537894,0.9211288,Wed_Feb_28_18_57_10_2024,
1179,No Diri,uniform,High,Low,48,1.0,0.9353035,0.9665704,Wed_Feb_28_18_56_45_2024,
1180,No Diri,uniform,Low,Low,48,0.3448276,0.952381,0.5063291,Wed_Feb_28_18_56_36_2024,
1181,No Diri,uniform,Medium,Low,48,1.0,0.9191919,0.9578947,Wed_Feb_28_18_56_38_2024,
1182,No Diri,uniform,Very High,Low,48,1.0,0.921762,0.9592884,Wed_Feb_28_18_56_44_2024,
1183,No Diri,uniform,Low,High,48,0.3035714,0.85,0.4473684,Wed_Feb_28_18_56_56_2024,
1184,No Diri,uniform,Low,Low,49,0.3174603,0.952381,0.4761905,Wed_Feb_28_19_55_44_2024,
1185,No Diri,uniform,High,Low,49,1.0,0.936901,0.9674227,Wed_Feb_28_19_55_50_2024,
1186,No Diri,uniform,Medium,High,49,0.9675174,0.8562628,0.9084967,Wed_Feb_28_19_56_06_2024,
1187,No Diri,uniform,Very High,High,49,1.0,0.8457411,0.9164244,Wed_Feb_28_19_56_14_2024,
1188,No Diri,uniform,Low,High,49,0.3207547,0.85,0.4657534,Wed_Feb_28_19_56_01_2024,
1189,No Diri,uniform,Very High,Low,49,1.0,0.921762,0.9592884,Wed_Feb_28_19_55_51_2024,
1190,No Diri,uniform,High,High,49,1.0,0.8169464,0.8992521,Wed_Feb_28_23_42_56_2024,
1191,No Diri,uniform,Medium,Low,49,1.0,0.9232323,0.960084,Wed_Feb_28_19_55_46_2024,
1192,No Diri,uniform,Medium,High,50,0.9632184,0.8603696,0.9088937,Wed_Feb_28_19_56_38_2024,
1193,No Diri,uniform,Low,High,50,0.3035714,0.85,0.4473684,Wed_Feb_28_19_56_36_2024,
1194,No Diri,uniform,Medium,Low,50,1.0,0.9292929,0.9633508,Wed_Feb_28_19_56_25_2024,
1195,No Diri,uniform,Very High,High,50,1.0,0.852448,0.9203476,Wed_Feb_28_19_56_46_2024,
1196,No Diri,uniform,High,High,50,1.0,0.8145484,0.8977974,Wed_Feb_28_22_56_08_2024,
1197,No Diri,uniform,Low,Low,50,0.3191489,0.952381,0.4780876,Wed_Feb_28_19_56_23_2024,
1198,No Diri,uniform,High,Low,50,1.0,0.936901,0.9674227,Wed_Feb_28_19_56_28_2024,
