,model,prior,duplicates_level,distortion_level,replicates,precision,recall,f1score,date,num_iter
51,Both,Pitman,Medium,Low,27,0.9978166,0.9232323,0.9590766,Wed_Feb_28_10_23_36_2024,
52,Both,Pitman,Medium,High,27,0.9916201,0.7289528,0.8402367,Wed_Feb_28_11_17_33_2024,
53,Both,Pitman,Low,Low,27,0.9677419,0.952381,0.96,Wed_Feb_28_10_23_32_2024,
54,Both,Pitman,Low,High,27,1.0,0.7333333,0.8461538,Wed_Feb_28_11_17_30_2024,
55,Both,Pitman,High,Low,27,1.0,0.9353035,0.9665704,Wed_Feb_28_10_23_37_2024,
56,Both,Pitman,Medium,High,28,0.9917127,0.7371663,0.8457008,Wed_Feb_28_11_18_13_2024,
57,Both,Pitman,Medium,Low,28,1.0,0.9191919,0.9578947,Wed_Feb_28_10_24_28_2024,
58,Both,Pitman,High,Low,28,1.0,0.936901,0.9674227,Wed_Feb_28_10_24_31_2024,
59,Both,Pitman,Very High,High,28,1.0,0.7156271,0.8342455,Wed_Feb_28_11_18_18_2024,
60,Both,Pitman,Low,High,28,1.0,0.75,0.8571429,Wed_Feb_28_11_18_10_2024,
61,Both,Pitman,Very High,Low,28,1.0,0.9211045,0.9589322,Wed_Feb_28_10_24_34_2024,
62,Both,Pitman,High,High,28,1.0,0.6802558,0.809705,Wed_Feb_28_11_18_14_2024,
63,Both,Pitman,Low,Low,28,0.9836066,0.952381,0.9677419,Wed_Feb_28_10_24_26_2024,
64,Both,Pitman,Low,High,29,1.0,0.7333333,0.8461538,Wed_Feb_28_14_51_08_2024,
65,Both,Pitman,High,Low,29,1.0,0.9353035,0.9665704,Wed_Feb_28_17_57_14_2024,
66,Both,Pitman,Medium,Low,29,1.0,0.9232323,0.960084,Wed_Feb_28_17_57_10_2024,
67,Both,Pitman,High,High,29,1.0,0.6834532,0.8119658,Wed_Feb_28_14_51_15_2024,
68,Both,Pitman,Very High,Low,29,1.0,0.921762,0.9592884,Wed_Feb_28_17_57_15_2024,
69,Both,Pitman,Medium,High,29,0.9916898,0.7351129,0.8443396,Wed_Feb_28_14_51_11_2024,
70,Both,Pitman,Low,Low,29,0.9677419,0.952381,0.96,Wed_Feb_28_17_57_08_2024,
71,Both,Pitman,Very High,High,29,0.9972145,0.7203219,0.8364486,Wed_Feb_28_14_51_17_2024,
72,Both,Pitman,Low,Low,30,0.9836066,0.952381,0.9677419,Wed_Feb_28_17_58_17_2024,
73,Both,Pitman,Medium,Low,30,1.0,0.9292929,0.9633508,Wed_Feb_28_17_58_19_2024,
74,Both,Pitman,Medium,High,30,0.9917355,0.7392197,0.8470588,Wed_Feb_28_14_28_43_2024,
75,Both,Pitman,High,High,30,1.0,0.6818545,0.8108365,Wed_Feb_28_14_28_46_2024,
76,Both,Pitman,High,Low,30,1.0,0.9353035,0.9665704,Wed_Feb_28_17_58_21_2024,
77,Both,Pitman,Low,High,30,1.0,0.7333333,0.8461538,Wed_Feb_28_14_28_40_2024,
78,Both,Pitman,Very High,Low,30,1.0,0.921762,0.9592884,Wed_Feb_28_17_58_24_2024,
79,Both,Pitman,Very High,High,30,1.0,0.7109323,0.8310466,Wed_Feb_28_14_28_48_2024,
80,Both,Pitman,Medium,Low,31,1.0,0.9232323,0.960084,Wed_Feb_28_17_58_49_2024,
81,Both,Pitman,Medium,High,31,0.9916435,0.7310062,0.8416076,Wed_Feb_28_14_29_25_2024,
82,Both,Pitman,Very High,High,31,1.0,0.713615,0.8328767,Wed_Feb_28_14_29_30_2024,
83,Both,Pitman,High,Low,31,1.0,0.936901,0.9674227,Wed_Feb_28_17_58_52_2024,
84,Both,Pitman,Low,High,31,1.0,0.7333333,0.8461538,Wed_Feb_28_14_29_22_2024,
85,Both,Pitman,Very High,Low,31,1.0,0.921762,0.9592884,Wed_Feb_28_17_58_54_2024,
86,Both,Pitman,High,High,31,1.0,0.6834532,0.8119658,Wed_Feb_28_14_29_28_2024,
87,Both,Pitman,Low,Low,31,0.9677419,0.952381,0.96,Wed_Feb_28_17_58_45_2024,
88,Both,Pitman,Very High,Low,32,1.0,0.9211045,0.9589322,Wed_Feb_28_17_59_25_2024,
89,Both,Pitman,High,Low,32,1.0,0.9408946,0.9695473,Wed_Feb_28_17_59_21_2024,
90,Both,Pitman,High,High,32,1.0,0.6834532,0.8119658,Wed_Feb_28_14_30_08_2024,
91,Both,Pitman,Low,Low,32,0.9836066,0.952381,0.9677419,Wed_Feb_28_17_59_16_2024,
92,Both,Pitman,Very High,High,32,1.0,0.7129443,0.8324197,Wed_Feb_28_14_30_11_2024,
93,Both,Pitman,Low,High,32,1.0,0.7333333,0.8461538,Wed_Feb_28_14_30_03_2024,
94,Both,Pitman,Medium,Low,32,1.0,0.9232323,0.960084,Wed_Feb_28_17_59_19_2024,
95,Both,Pitman,Medium,High,32,0.9917582,0.7412731,0.8484136,Wed_Feb_28_14_30_06_2024,
96,Both,Pitman,Very High,Low,33,1.0,0.921762,0.9592884,Wed_Feb_28_18_23_43_2024,
97,Both,Pitman,Low,High,33,1.0,0.75,0.8571429,Thu_Feb_29_12_46_46_2024,
98,Both,Pitman,High,Low,33,1.0,0.936901,0.9674227,Wed_Feb_28_18_23_40_2024,
99,Both,Pitman,Medium,High,33,0.9916667,0.7330595,0.8429752,Thu_Feb_29_12_46_49_2024,
100,Both,Pitman,Low,Low,33,0.9677419,0.952381,0.96,Wed_Feb_28_18_23_34_2024,
101,Both,Pitman,Medium,Low,33,0.997807,0.9191919,0.9568875,Wed_Feb_28_18_23_37_2024,
102,Both,Pitman,Very High,High,33,1.0,0.7203219,0.8374269,Thu_Feb_29_12_46_51_2024,
103,Both,Pitman,High,High,33,1.0,0.6818545,0.8108365,Thu_Feb_29_12_46_50_2024,
104,Both,Pitman,Low,Low,34,0.9836066,0.952381,0.9677419,Wed_Feb_28_18_37_18_2024,
105,Both,Pitman,Medium,Low,34,1.0,0.9232323,0.960084,Wed_Feb_28_18_37_19_2024,
106,Both,Pitman,Very High,Low,34,1.0,0.921762,0.9592884,Wed_Feb_28_18_37_24_2024,
107,Both,Pitman,High,High,34,1.0,0.685052,0.813093,Thu_Feb_29_00_24_26_2024,
108,Both,Pitman,Medium,High,34,0.9916667,0.7330595,0.8429752,Thu_Feb_29_00_24_21_2024,
109,Both,Pitman,Low,High,34,1.0,0.7333333,0.8461538,Thu_Feb_29_00_24_19_2024,
110,Both,Pitman,Very High,High,34,1.0,0.778672,0.8755656,Thu_Feb_29_00_24_27_2024,
111,Both,Pitman,High,Low,34,1.0,0.936901,0.9674227,Wed_Feb_28_18_37_23_2024,
112,Both,Pitman,Medium,Low,35,1.0,0.9232323,0.960084,Wed_Feb_28_18_38_42_2024,
113,Both,Pitman,Medium,High,35,0.9889807,0.7371663,0.8447059,Thu_Feb_29_00_24_57_2024,
